row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2017Nghìn VND,Tập đoàn > 1/1/2017Nghìn VND,Công tv > 31/12/2017Nghìn VND,Công tv > 1/1/2017Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2017Nghìn VND,numeric__Tập đoàn > 1/1/2017Nghìn VND,numeric__Công tv > 31/12/2017Nghìn VND,numeric__Công tv > 1/1/2017Nghìn VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,,,
NỘ PHẢI TRẢ (300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ (300 = 310 + 330),NỘ PHẢI TRẢ (300 = 310 + 330),300,,15.132.604.815,14.825.018.166,554.834.167,581.264.773,300.0,,15132604815.0,14825018166.0,554834167.0,581264773.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,4.871.844.056,3.518.587.636,13.759.992,40.190.598,310.0,,4871844056.0,3518587636.0,13759992.0,40190598.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,434.067.033,385.674.737,429.032,33,311.0,,434067033.0,385674737.0,429032.0,33.0
Người mua trả tiền trước ngắn hạn,NGUỒN VỐN > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,166.299.167,37.027.125,-,-,312.0,,166299167.0,37027125.0,,
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,15,74.558.198,43.470.903,-,-,313.0,15.0,74558198.0,43470903.0,,
Phải trả người lao động,NGUỒN VỐN > Phải trả người lao động,Phải trả người lao động,314,,-,14.359,-,-,314.0,,,14359.0,,
Chi phí phải trả ngắn hạn,NGUỒN VỐN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,16,788.206.464,794.222.535,424.490,934.647,315.0,16.0,788206464.0,794222535.0,424490.0,934647.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,17,3.919.178,31.175.245,12.906.470,39.255.918,319.0,17.0,3919178.0,31175245.0,12906470.0,39255918.0
Vay và nợ thuê tài chính ngắn hạn,NGUỒN VỐN > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,18(a),3.404.794.016,2.227.002.732,-,-,320.0,,3404794016.0,2227002732.0,,
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,10.260.760.759,11.306.430.530,541.074.175,541.074.175,330.0,,10260760759.0,11306430530.0,541074175.0,541074175.0
Phải trả dài hạn khác,NGUỒN VỐN > Phải trả dài hạn khác,Phải trả dài hạn khác,337,17,1.124.123.839,1.124.123.839,541.074.175,541.074.175,337.0,17.0,1124123839.0,1124123839.0,541074175.0,541074175.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","NGUỒN VỐN > Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,18(b),7.967.927.242,8.922.889.456,-,-,338.0,,7967927242.0,8922889456.0,,
Thuế thu nhập hoãn lại phải trả,NGUỒN VỐN > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,19(ii),643.914.399,675.071.953,-,-,341.0,,643914399.0,675071953.0,,
Dự phòng phải trả dài hạn,NGUỒN VỐN > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,20,524.795.279,584.345.282,-,-,342.0,20.0,524795279.0,584345282.0,,
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,12.011.606.047,11.710.480.283,9.443.792.507,9.443.781.242,400.0,,12011606047.0,11710480283.0,9443792507.0,9443781242.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,410,21,12.011.606.047,11.710.480.283,9.443.792.507,9.443.781.242,410.0,21.0,12011606047.0,11710480283.0,9443792507.0,9443781242.0
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,22,7.194.473.280,7.194.473.280,7.194.473.280,7.194.473.280,411.0,22.0,7194473280.0,7194473280.0,7194473280.0,7194473280.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,7.035.448.980,7.035.448.980,7.035.448.980,7.035.448.980,,,7035448980.0,7035448980.0,7035448980.0,7035448980.0
- Cổ phiếu ưu đãi,NGUỒN VỐN > - Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,411b,,159.024.300,159.024.300,159.024.300,159.024.300,,,159024300.0,159024300.0,159024300.0,159024300.0
Thắng dư vốn cổ phần,NGUỒN VỐN > Thắng dư vốn cổ phần,Thắng dư vốn cổ phần,412,22,1.944.327.324,1.944.327.324,1.944.327.324,1.944.327.324,412.0,22.0,1944327324.0,1944327324.0,1944327324.0,1944327324.0
Vốn khác của chủ sở hữu,NGUỒN VỐN > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(295.683.347),(295.683.347),-,-,414.0,,-295683347.0,-295683347.0,,
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,2.757.718.772,2.551.804.716,304.991.903,304.980.638,421.0,,2757718772.0,2551804716.0,304991903.0,304980638.0
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,NGUỒN VỐN > - Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,2.551.804.716,2.441.963.692,304.980.638,222.688.093,,,2551804716.0,2441963692.0,304980638.0,222688093.0
- Lợi nhuận sau thuế chưa phân phối năm nay,NGUỒN VỐN > - Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,205.914.056,109.841.024,11.265,82.292.545,,,205914056.0,109841024.0,11265.0,82292545.0
Lợi ích cổ đông không kiểm soát,NGUỒN VỐN > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,410.770.018,315.558.310,-,-,429.0,,410770018.0,315558310.0,,
TỔNG NGUỒN VỐN (440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,27.144.210.862,26.535.498.449,9.998.626.674,10.025.046.015,440.0,,27144210862.0,26535498449.0,9998626674.0,10025046015.0
