row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2017Nghìn VND,Tập đoàn > 2016Nghìn VND,Công ty > 2017Nghìn VND,Công ty > 2016Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2017Nghìn VND,numeric__Tập đoàn > 2016Nghìn VND,numeric__Công ty > 2017Nghìn VND,numeric__Công ty > 2016Nghìn VND
Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang từ trang trước),Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang từ trang trước),Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang từ trang trước),50,,292.122.452,100.564.754,11.265,82.292.545,50.0,,292122452.0,100564754.0,11265.0,82292545.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,27,36.841.033,14.320.441,-,-,51.0,27.0,36841033.0,14320441.0,,
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,27,(45.844.345),(29.101.561),-,-,52.0,27.0,-45844345.0,-29101561.0,,
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),60,,301.125.764,115.345.874,11.265,82.292.545,60.0,,301125764.0,115345874.0,11265.0,82292545.0
,,,,,Nghìn VND,Nghìn VND,,,,,,,,
Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,Lợi nhuận thuần phân bổ cho:,,,,,,,,,,,,
Cổ đông của Công ty,Lợi nhuận thuần phân bổ cho: > Cổ đông của Công ty,Cổ đông của Công ty,61,,205.914.056,109.841.024,,,61.0,,205914056.0,109841024.0,,
Cổ đông không kiểm soát,Lợi nhuận thuần phân bổ cho: > Cổ đông không kiểm soát,Cổ đông không kiểm soát,62,,95.211.708,5.504.850,,,62.0,,95211708.0,5504850.0,,
,,,,,VND,VND,,,,,,,,
Lãi trên cổ phiếu,Lãi trên cổ phiếu,Lãi trên cổ phiếu,,,,,,,,,,,,
Lãi cơ bản trên mỗi cổ phiếu,Lãi trên cổ phiếu > Lãi cơ bản trên mỗi cổ phiếu,Lãi cơ bản trên mỗi cổ phiếu,70,28,286,153,,,70.0,28.0,286.0,153.0,,
