row_label_raw,row_label_full,col_0,Mã số,Tập đoàn > 2017Nghìn VND,Tập đoàn > 2016Nghìn VND,Công ty > 2017Nghìn VND,Công ty > 2016Nghìn VND,numeric__Mã số,numeric__Tập đoàn > 2017Nghìn VND,numeric__Tập đoàn > 2016Nghìn VND,numeric__Công ty > 2017Nghìn VND,numeric__Công ty > 2016Nghìn VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,
Lợi nhuận trước thuếĐiều chính cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuếĐiều chính cho các khoản,Lợi nhuận trước thuếĐiều chính cho các khoản,01,292.122.452,100.564.754,11.265,82.292.545,1.0,292122452.0,100564754.0,11265.0,82292545.0
Khấu hao và phân bổ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,1.181.620.078,1.027.293.480,-,-,2.0,1181620078.0,1027293480.0,,
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ cógốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ cógốc ngoại tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ cógốc ngoại tệ,03,43.347.293,50.080.962,-,-,3.0,43347293.0,50080962.0,,
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ cógốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ cógốc ngoại tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệ cógốc ngoại tệ,04,(5.824.568),20.027.858,-,-,4.0,-5824568.0,20027858.0,,
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(5.741.539),(158.760.543),(14.265),(85.002.516),5.0,-5741539.0,-158760543.0,-14265.0,-85002516.0
Chi phí lãi vay và chi phí đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và chi phí đi vay,Chi phí lãi vay và chi phí đi vay,06,1.012.994.177,844.510.670,-,-,6.0,1012994177.0,844510670.0,,
Lợi nhuận/(lỗ) từ hoạt độngkinh doanh trước những thay đốivốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận/(lỗ) từ hoạt độngkinh doanh trước những thay đốivốn lưu động,Lợi nhuận/(lỗ) từ hoạt độngkinh doanh trước những thay đốivốn lưu động,08,2.518.517.893,1.883.717.181,(3.000),(2.709.971),8.0,2518517893.0,1883717181.0,-3000.0,-2709971.0
Biến động các khoản phải thu vàtài sản ngắn hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu vàtài sản ngắn hạn khác,Biến động các khoản phải thu vàtài sản ngắn hạn khác,09,(454.833.910),(103.021.421),(2.242.379),-,9.0,-454833910.0,-103021421.0,-2242379.0,
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(296.677.753),(27.986.824),-,-,10.0,-296677753.0,-27986824.0,,
Biến động các khoản phải trả vànợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,11,187.603.914,10.022.219,(181.160),320.168,11.0,187603914.0,10022219.0,-181160.0,320168.0
Biến động chỉ phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chỉ phí trả trước,Biến động chỉ phí trả trước,12,(4.225.567),31.329.469,-,-,12.0,-4225567.0,31329469.0,,
,,,,1.950.384.577,1.794.060.624,(2.426.539),(2.389.803),,1950384577.0,1794060624.0,-2426539.0,-2389803.0
Tiền lãi vay và chi phí đi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay và chi phí đi vay đã trả,Tiền lãi vay và chi phí đi vay đã trả,14,(921.866.185),(656.209.478),-,-,14.0,-921866185.0,-656209478.0,,
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(14.478.165),(363.147),-,-,15.0,-14478165.0,-363147.0,,
Lưu chuyển tiền thuần từhoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từhoạt động kinh doanh,Lưu chuyển tiền thuần từhoạt động kinh doanh,20,1.014.040.227,1.137.487.999,(2.426.539),(2.389.803),20.0,1014040227.0,1137487999.0,-2426539.0,-2389803.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,
"Tiền chi mua sắm, xây dựng tài sảncó định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sảncó định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sảncó định và tài sản dài hạn khác",21,(940.730.520),(1.201.145.618),-,-,21.0,-940730520.0,-1201145618.0,,
Tiền thu từ thanh lý tài sản cố địnhvà tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố địnhvà tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố địnhvà tài sản dài hạn khác,22,1.056.182,2.922.727,-,-,22.0,1056182.0,2922727.0,,
Tiền gửi có kỳ hạn tại ngân hàng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền gửi có kỳ hạn tại ngân hàng,Tiền gửi có kỳ hạn tại ngân hàng,23,(32.500.000),-,-,-,23.0,-32500000.0,,,
Thu hồi tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Thu hồi tiền gửi có kỳ hạn,Thu hồi tiền gửi có kỳ hạn,24,-,2.100.000,-,-,24.0,,2100000.0,,
Tiền thu lãi tiền gửi,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi,Tiền thu lãi tiền gửi,27,9.502.550,2.314.464,28.262.675,55.002.516,27.0,9502550.0,2314464.0,28262675.0,55002516.0
Lưu chuyển tiền thuần từhoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từhoạt động đầu tư,Lưu chuyển tiền thuần từhoạt động đầu tư,30,(962.671.788),(1.193.808.427),28.262.675,55.002.516,30.0,-962671788.0,-1193808427.0,28262675.0,55002516.0
