row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Nhà cửa và vật kiến trúc Nghìn VND,numeric__Máy móc và thiết bị Nghìn VND,numeric__Dụng cụ văn phòng Nghìn VND,numeric__Phương tiện vận chuyển Nghìn VND,numeric__Tài sản khai thác khoáng sản khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.427.736.017,11.857.410.700,40.610.882,22.283.421,5.026.291.284,20.374.332.304,3427736017.0,11857410700.0,40610882.0,22283421.0,5026291284.0,20374332304.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.756.660,731.976,-,-,4.488.636,,3756660.0,731976.0,,,4488636.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 12),815.297.690,624.458.453,603.602,-,-,1.440.359.745,815297690.0,624458453.0,603602.0,,,1440359745.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(2.496.235),-,(2.496.235),,,,-2496235.0,,-2496235.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(5.467.966),(750.599),-,-,(6.218.565),,-5467966.0,-750599.0,,,-6218565.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.243.033.707,12.480.157.847,41.195.861,19.787.186,5.026.291.284,21.810.465.885,4243033707.0,12480157847.0,41195861.0,19787186.0,5026291284.0,21810465885.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,350.570.521,1.432.742.415,30.110.570,14.844.371,508.422.119,2.336.689.996,350570521.0,1432742415.0,30110570.0,14844371.0,508422119.0,2336689996.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,204.427.896,706.059.875,3.777.621,2.914.550,208.765.639,1.125.945.581,204427896.0,706059875.0,3777621.0,2914550.0,208765639.0,1125945581.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(2.091.440),-,(2.091.440),,,,-2091440.0,,-2091440.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(1.079.346),(723.710),-,-,(1.803.056),,-1079346.0,-723710.0,,,-1803056.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,554.998.417,2.137.722.944,33.164.481,15.667.481,717.187.758,3.458.741.081,554998417.0,2137722944.0,33164481.0,15667481.0,717187758.0,3458741081.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.077.165.496,10.424.668.285,10.500.312,7.439.050,4.517.869.165,18.037.642.308,3077165496.0,10424668285.0,10500312.0,7439050.0,4517869165.0,18037642308.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.688.035.290,10.342.434.903,8.031.380,4.119.705,4.309.103.526,18.351.724.804,3688035290.0,10342434903.0,8031380.0,4119705.0,4309103526.0,18351724804.0
