row_label_raw,row_label_full,- Thuyết minh theo loại tiền gửi,31/12/2021,31/12/2020,numeric__31/12/2021,numeric__31/12/2020
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",2.325.499,1.972.117,2325499.0,1972117.0
- Bằng VND,- Bằng VND,- Bằng VND,2.129.105,1.714.710,2129105.0,1714710.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,196.394,257.407,196394.0,257407.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",15.753.673,16.228.495,15753673.0,16228495.0
- Bằng VND,- Bằng VND,- Bằng VND,15.628.834,16.092.434,15628834.0,16092434.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,124.839,136.061,124839.0,136061.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,4.254,4.055,4254.0,4055.0
Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,22.061,18.967,22061.0,18967.0
Tổng cộng,Tổng cộng,Tổng cộng,18.105.487,18.223.634,18105487.0,18223634.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2021,31/12/2020,,
Tiền gửi của TCKT,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của TCKT",Tiền gửi của TCKT,1.105.343,1.966.517,1105343.0,1966517.0
Doanh nghiệp nhà nước,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp nhà nước",Doanh nghiệp nhà nước,64.417,113.215,64417.0,113215.0
Công ty TNHH,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty TNHH",Công ty TNHH,398.636,606.668,398636.0,606668.0
Công ty Cổ phần,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Công ty Cổ phần",Công ty Cổ phần,430.564,986.033,430564.0,986033.0
Doanh nghiệp tư nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp tư nhân",Doanh nghiệp tư nhân,13.673,69.120,13673.0,69120.0
Doanh nghiệp có vốn đầu tư nước ngoài,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài",Doanh nghiệp có vốn đầu tư nước ngoài,198.053,191.481,198053.0,191481.0
Tiền gửi của cá nhân,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của cá nhân",Tiền gửi của cá nhân,12.282.779,12.323.988,12282779.0,12323988.0
Tiền gửi của các đối tượng khác,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tiền gửi của các đối tượng khác",Tiền gửi của các đối tượng khác,4.717.365,3.933.129,4717365.0,3933129.0
Tổng cộng,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp > Tổng cộng",Tổng cộng,18.105.487,18.223.634,18105487.0,18223634.0
"19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh","19. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro: Không phát sinh",,
20. Phát hành giấy tờ có giá thông thường: không phát sinh.,20. Phát hành giấy tờ có giá thông thường: không phát sinh.,20. Phát hành giấy tờ có giá thông thường: không phát sinh.,20. Phát hành giấy tờ có giá thông thường: không phát sinh.,20. Phát hành giấy tờ có giá thông thường: không phát sinh.,,
"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác","21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác","21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác",31/12/2021,31/12/2020,,
Các khoản phải trả nội bộ,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > Các khoản phải trả nội bộ",Các khoản phải trả nội bộ,74.233,32.471,74233.0,32471.0
- Các khoản phải trả cho Cán bộ CNV,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Các khoản phải trả cho Cán bộ CNV",- Các khoản phải trả cho Cán bộ CNV,42.447,10.713,42447.0,10713.0
- Quỹ khen thưởng và phúc lợi phải trả,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Quỹ khen thưởng và phúc lợi phải trả",- Quỹ khen thưởng và phúc lợi phải trả,25.979,13.367,25979.0,13367.0
- Các khoản phải trả nội bộ khác,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Các khoản phải trả nội bộ khác",- Các khoản phải trả nội bộ khác,5.807,8.391,5807.0,8391.0
+ Lãi cổ đông phải trả,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > + Lãi cổ đông phải trả",+ Lãi cổ đông phải trả,683,683,683.0,683.0
+ Khoản phải trả nội bộ khác,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > + Khoản phải trả nội bộ khác",+ Khoản phải trả nội bộ khác,5.124,7.708,5124.0,7708.0
Các khoản phải trả bên ngoài,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > Các khoản phải trả bên ngoài",Các khoản phải trả bên ngoài,76.178,68.941,76178.0,68941.0
- Phải trả về mua sắm TSCĐ,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Phải trả về mua sắm TSCĐ",- Phải trả về mua sắm TSCĐ,870,870,870.0,870.0
- Thuế thu nhập doanh nghiệp phải nộp,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Thuế thu nhập doanh nghiệp phải nộp",- Thuế thu nhập doanh nghiệp phải nộp,7.878,24.079,7878.0,24079.0
- Chuyển tiền phải trả,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Chuyển tiền phải trả",- Chuyển tiền phải trả,2.774,2.039,2774.0,2039.0
- Thuế và các khoản phải nộp cho Nhà Nước,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Thuế và các khoản phải nộp cho Nhà Nước",- Thuế và các khoản phải nộp cho Nhà Nước,968,1.571,968.0,1571.0
- Phải trả khác cho Nhà Nước,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Phải trả khác cho Nhà Nước",- Phải trả khác cho Nhà Nước,2.539,2.539,2539.0,2539.0
- Các khoản phải trả bên ngoài khác,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > - Các khoản phải trả bên ngoài khác",- Các khoản phải trả bên ngoài khác,61.149,37.843,61149.0,37843.0
Tổng cộng,"21. Các khoản phải trả, nợ khác và dự phòng rủi ro khác > Tổng cộng",Tổng cộng,150.411,101.412,150411.0,101412.0
