row_label_raw,row_label_full,Năm nay > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng chung > 107.123 > 15.314,Dự phòng cụ thể > 9.642 > 42.311,numeric__Dự phòng chung > 107.123 > 15.314,numeric__Dự phòng cụ thể > 9.642 > 42.311
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(12.430),,-12430.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,122.437,39.523,122437.0,39523.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,107.849,8.155,107849.0,8155.0
Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Năm trước > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),(726),44.573,-726.0,44573.0
Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Năm trước > Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,Dự phòng giảm do xử lý các khoản nợ phải thu hồi bằng nguồn dự phòng,-,(43.086),,-43086.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,107.123,9.642,107123.0,9642.0
Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,31/12/2021,31/12/2020,,
Dự phòng rủi ro cho vay khách hàng,Chi tiết số dư dự phòng > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,161.960,116.765,161960.0,116765.0
+ Dự phòng chung,Chi tiết số dư dự phòng > + Dự phòng chung,+ Dự phòng chung,122.437,107.123,122437.0,107123.0
+ Dự phòng cụ thể,Chi tiết số dư dự phòng > + Dự phòng cụ thể,+ Dự phòng cụ thể,39.523,9.642,39523.0,9642.0
Cộng,Chi tiết số dư dự phòng > Cộng,Cộng,161.960,116.765,161960.0,116765.0
