row_label_raw,row_label_full,Tên,Giá gốc,Giá trị hiện tại,Tỷ lệ phần vốn (%),Giá gốc_1,Giá trị hiện tại_1,Tỷ lệ phần vốn (%)_1,numeric__Giá gốc,numeric__Giá trị hiện tại,numeric__Tỷ lệ phần vốn (%),numeric__Giá gốc_1,numeric__Giá trị hiện tại_1,numeric__Tỷ lệ phần vốn (%)_1
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,53.880,25.698,,125.655,98.724,,53880.0,25698.0,,125655.0,98724.0,
Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,Đầu tư vào các TCTD,,,,,,
Ngân hàng TMCP Bản Việt,Đầu tư vào các TCTD > Ngân hàng TMCP Bản Việt,Ngân hàng TMCP Bản Việt,-,-,-,71.776,71.776,"2,34%",,,,71776.0,71776.0,0.023399999999999997
Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,Đầu tư vào doanh nghiệp khác,,,,,,
Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Đầu tư vào doanh nghiệp khác > Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,18.380,18.380,"10,98%",18.379,18.379,"10,98%",18380.0,18380.0,0.10980000000000001,18379.0,18379.0,0.10980000000000001
Công ty Cp Thanh Toán Quốc Gia Việt Nam,Đầu tư vào doanh nghiệp khác > Công ty Cp Thanh Toán Quốc Gia Việt Nam,Công ty Cp Thanh Toán Quốc Gia Việt Nam,2.000,2.000,"0,0064",2.000,2000,"0,0064",2000.0,2000.0,0.0064,2000.0,2000.0,0.0064
Công ty CP Chứng khoán SAIGONBANK Berjaya,Đầu tư vào doanh nghiệp khác > Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,33.000,33.000,"11,00%",33.000,33.000,"11,00%",33000.0,33000.0,0.11,33000.0,33000.0,0.11
Quỹ BL Tín dụng của Doanh nghiệp vừa và nhỏ,Đầu tư vào doanh nghiệp khác > Quỹ BL Tín dụng của Doanh nghiệp vừa và nhỏ,Quỹ BL Tín dụng của Doanh nghiệp vừa và nhỏ,500,500,"0,22%",500,500,"0,22%",500.0,500.0,0.0022,500.0,500.0,0.0022
Dự phòng giảm giá đầu tư chứng khoán dài hạn,Đầu tư vào doanh nghiệp khác > Dự phòng giảm giá đầu tư chứng khoán dài hạn,Dự phòng giảm giá đầu tư chứng khoán dài hạn,-,(28.182),,-,(26.931),,,-28182.0,,,-26931.0,
Công ty CP Chứng khoán SAIGONBANK Berjaya,Đầu tư vào doanh nghiệp khác > Công ty CP Chứng khoán SAIGONBANK Berjaya,Công ty CP Chứng khoán SAIGONBANK Berjaya,-,(27.227),,-,(26.931),,,-27227.0,,,-26931.0,
Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Đầu tư vào doanh nghiệp khác > Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,Công ty CP Du lịch Khách sạn Sài Gòn Hạ Long,-,(955),,-,-,,,-955.0,,,,
Tổng cộng,Đầu tư vào doanh nghiệp khác > Tổng cộng,Tổng cộng,53.880,25.698,,125.655,98.724,,53880.0,25698.0,,125655.0,98724.0,
