row_label_raw,row_label_full,3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác_1,31/12/2021,31/12/2020,numeric__3.2. Cho vay các tổ chức tin dụng khác_1,numeric__31/12/2021,numeric__31/12/2020
Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,Cho vay ngắn hạn,520.000,400.000,,520000.0,400000.0
Bằng VND,Bằng VND,Bằng VND,Bằng VND,520.000,400.000,,520000.0,400000.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,-,,,
Cộng,Dự phòng rủi ro cho vay các TCTD khác > Cộng,Cộng,Cộng,520.000,400.000,,520000.0,400000.0
Tổng cộng,Dự phòng rủi ro cho vay các TCTD khác > Tổng cộng,Tổng cộng,Tổng cộng,5.612.983,5.739.507,,5612983.0,5739507.0
4. Chứng khoán kinh doanh: Không phát sinh.,4. Chứng khoán kinh doanh: Không phát sinh.,4. Chứng khoán kinh doanh: Không phát sinh.,4. Chứng khoán kinh doanh: Không phát sinh.,4. Chứng khoán kinh doanh: Không phát sinh.,4. Chứng khoán kinh doanh: Không phát sinh.,,,
5. Các công cụ tài chính phải sinh và các tài sản tài chính khác:,5. Các công cụ tài chính phải sinh và các tài sản tài chính khác:,5. Các công cụ tài chính phải sinh và các tài sản tài chính khác:,5. Các công cụ tài chính phải sinh và các tài sản tài chính khác:,5. Các công cụ tài chính phải sinh và các tài sản tài chính khác:,5. Các công cụ tài chính phải sinh và các tài sản tài chính khác:,,,
,,,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo),,,
,,,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tài sản,Công nợ,,,
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày cuối năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,27.344,-,,27344.0,
- Giao dịch hoán đổi tiền tệ,Tại ngày cuối năm > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,1.724.444,27.344,-,1724444.0,27344.0,
Công cụ tài chính phải sinh tiền tệ,Tại ngày cuối năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,6.585,-,,6585.0,
- Giao dịch hoán đổi tiền tệ,Tại ngày cuối năm > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,3.243.385,6.585,-,3243385.0,6585.0,
Công cụ phải sinh tiền tệ,Tại ngày cuối năm > Công cụ phải sinh tiền tệ,Công cụ phải sinh tiền tệ,1.724.444,27.344,-,1724444.0,27344.0,
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,,,
,,,,31/12/2021,31/12/2020,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","6. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",16.154.829,15.152.879,,16154829.0,15152879.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,6. Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,339.295,286.076,,339295.0,286076.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","6. Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",15,595,,15.0,595.0
"Cho vay đối với các tổ chức, cá nhân nước ngoài","6. Cho vay khách hàng > Cho vay đối với các tổ chức, cá nhân nước ngoài","Cho vay đối với các tổ chức, cá nhân nước ngoài","Cho vay đối với các tổ chức, cá nhân nước ngoài",8.000,8.000,,8000.0,8000.0
Tổng cộng,6. Cho vay khách hàng > Tổng cộng,Tổng cộng,Tổng cộng,16.502.139,15.447.550,,16502139.0,15447550.0
6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,,,
,,,,31/12/2021,31/12/2020,,,
Nợ đủ tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,15.778.044,15.100.040,,15778044.0,15100040.0
Nợ cần chú ý,6.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,398.810,124.445,,398810.0,124445.0
Nợ dưới tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,41.534,19.281,,41534.0,19281.0
Nợ nghi ngờ,6.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,106.650,19.017,,106650.0,19017.0
Nợ có khả năng mất vốn,6.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,177.101,184.767,,177101.0,184767.0
Tổng cộng,6.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,Tổng cộng,16.502.139,15.447.550,,16502139.0,15447550.0
6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,,,
,,,,31/12/2021,31/12/2020,,,
Nợ ngắn hạn,6.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,11.693.831,10.931.458,,11693831.0,10931458.0
Nợ trung hạn,6.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,1.528.165,1.742.064,,1528165.0,1742064.0
Nợ dài hạn,6.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,3.280.143,2.774.028,,3280143.0,2774028.0
Tổng cộng,6.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,Tổng cộng,16.502.139,15.447.550,,16502139.0,15447550.0
