row_label_raw,row_label_full,"Cổ tức nhận được trong năm từ góp vốn, mua cổ phần.",Năm 2021 > 106.916,Năm 2020 > 1.408,numeric__Năm 2021 > 106.916,numeric__Năm 2020 > 1.408
"Từ góp vốn, đầu tư dài hạn","Từ góp vốn, đầu tư dài hạn","Từ góp vốn, đầu tư dài hạn",-,1.408,,1408.0
Thu nhập từ bán cổ phần,Thu nhập từ bán cổ phần,Thu nhập từ bán cổ phần,106.916,-,106916.0,
Tổng cộng,Tổng cộng,Tổng cộng,106.916,1.408,106916.0,1408.0
