row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công cụ dụng cụ chờ phân bổ,Ngắn hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,522.619.241,347.548.174,522619241.0,347548174.0
Chỉ phí mua bảo hiểm,Ngắn hạn > Chỉ phí mua bảo hiểm,Chỉ phí mua bảo hiểm,81.041.122,83.440.477,81041122.0,83440477.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,282.986.193,436.819.712,282986193.0,436819712.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,886.646.556,867.808.363,886646556.0,867808363.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chỉ phí sửa chữa tài sản cố định,Dài hạn > Chỉ phí sửa chữa tài sản cố định,Chỉ phí sửa chữa tài sản cố định,36.822.682.114,10.491.877.468,36822682114.0,10491877468.0
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,421.743.973,1.097.257.801,421743973.0,1097257801.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,456.831.504,320.299.139,456831504.0,320299139.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,37.701.257.591,11.909.434.408,37701257591.0,11909434408.0
