row_label_raw,row_label_full,Công ty TNHH Sản xuấtNguyên liệu giấy ViệtNhật Cái Lân,Công ty liên kết,Phải thu cổ tức và lợi nhuận được chia,-,20.075.995.800,numeric__Công ty liên kết,numeric__Phải thu cổ tức và lợi nhuận được chia,numeric__-,numeric__20.075.995.800
Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,Công ty con,"Phải thu lãi vay, phải thu cổ tức và lợi nhuận được chia",-,5.383.736.379,,,,5383736379.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty con,Phải thu lãi vay,7.542.466.612,1.661.823.478,,,7542466612.0,1661823478.0
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty liên kết,"Phải thu cổ phần hóa, phải thu cổ tức và lợi nhuận được chia",935.811.705,935.811.705,,,935811705.0,935811705.0
Công ty TNHH MTV Lâm nghiệp Ba tơ,Công ty TNHH MTV Lâm nghiệp Ba tơ,Công ty TNHH MTV Lâm nghiệp Ba tơ,Công ty con,Phải thu cổ tức và lợi nhuận được chia,2.644.661.574,919.971.475,,,2644661574.0,919971475.0
Công ty Cổ phần Giống Lâm nghiệp Vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp Vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp Vùng Đông Bắc,Công ty con,Phải thu lãi vay,731.172.256,633.680.476,,,731172256.0,633680476.0
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty con,Phải thu lãi vay,493.526.726,439.294.016,,,493526726.0,439294016.0
Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty TNHH MTV Lâm nghiệp Đình Lập,Công ty con,Phải thu lãi vay,-,342.758.447,,,,342758447.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,Phải thu cổ tức và lợi nhuận được chia,252.000.000,336.000.000,,,252000000.0,336000000.0
Công ty Cổ phần Giống Lâm nghiệp Vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp Vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp Vùng Bắc Bộ,Công ty con,"Phải thu lãi vay, phải thu cổ tức và lợi nhuận được chia",309.795.802,258.332.944,,,309795802.0,258332944.0
Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,Công ty con (đến ngày 19 tháng 11 năm 2025),Phải thu về cổ phần hóa và lãi vay,-,444.946.041,,,,444946041.0
