row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),Đầu tư vào công ty liên kết (tiếp theo),,,,,,,,,,,,
17 Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà nội,Đầu tư vào công ty liên kết (tiếp theo) > 17 Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà nội,17 Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà nội,1.436.982.760,-,1.436.982.760,1.436.982.760,-,1.436.982.760,1436982760.0,,1436982760.0,1436982760.0,,1436982760.0
18 Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Đầu tư vào công ty liên kết (tiếp theo) > 18 Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,18 Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,1.115.926.139,-,1.115.926.139,1.115.926.139,-,1.115.926.139,1115926139.0,,1115926139.0,1115926139.0,,1115926139.0
19 Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,Đầu tư vào công ty liên kết (tiếp theo) > 19 Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,19 Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,442.110.305,-,442.110.305,442.110.305,-,442.110.305,442110305.0,,442110305.0,442110305.0,,442110305.0
20 Công ty Cổ phần Giống Lâm nghiệp Trung U'ong (iii),Đầu tư vào công ty liên kết (tiếp theo) > 20 Công ty Cổ phần Giống Lâm nghiệp Trung U'ong (iii),20 Công ty Cổ phần Giống Lâm nghiệp Trung U'ong (iii),-,-,-,125.915.764,(125.915.764),-,,,,125915764.0,-125915764.0,
21 Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,21 Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,21 Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,-,-,-,-,-,-,,,,,,
22 Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,22 Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,22 Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,-,-,-,-,-,-,,,,,,
TỔNG CỘNG,22 Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành > TỔNG CỘNG,TỔNG CỘNG,552.542.966.124,(10.199.872.895),542.343.093.229,431.176.467.098,(9.482.450.591),421.694.016.507,552542966124.0,-10199872895.0,542343093229.0,431176467098.0,-9482450591.0,421694016507.0
"(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.","(i) Trong năm, Tổng Công ty đã thực hiện góp vốn thêm vào Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân, với số tiền là 121.495.500.000 VND, với tỷ lệ nấm giữ không đối là 49%.",,,,,,
"(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.","(ii) Trong năm, Tổng Công ty nhận chia cổ tức từ các công ty này từ lợi nhuận trước giai đoạn cổ phần hóa. Theo đó, Tổng Công ty đã ghi nhận giảm giá trị đầu tư vào các công ty này.",,,,,,
