row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,numeric__Tên đơn vị_1
Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,
1,1,1,Công ty TNHH MTV Lâm nghiệp Ba Tơ,
2,2,2,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,
3,3,3,Công ty TNHH MTV Lâm nghiệp Đông Bắc,
4,4,4,Công ty TNHH MTV Lâm nghiệp Lộc Bình,
5,5,5,Công ty TNHH MTV Lâm nghiệp Đình Lập,
6,6,6,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,
7,7,7,Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quát,
8,8,8,Công ty TNHH MTV Hợp tác lao động và Dịch vụ Vinafor,
Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,
9,9,9,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,
10,10,10,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,
11,11,11,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,
12,12,12,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,
13,13,13,Công ty Cổ phần Long Bình,
14,14,14,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,
15,15,15,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,
16,16,16,Công ty Cổ phần Vinafor Đà Nẵng,
17,17,17,Công ty Cổ phần Cẩm Hà,
18,18,18,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,
19,19,19,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,
20,20,20,Công ty Cổ phần Vinafor Tây Nguyên,
