row_label_raw,row_label_full,Bên liên quan > Công ty TNHHYamaha MotorViệt Nam,Mối quan hệ > Công ty liên kết,Nội dung nghiệp vụ > Doanh thu dịch vụHoàn trả cọc hợpđồng thuê văn phòng,Đơn vị tính: VND > Năm nay > 7.027.950.4661.215.535.680,Đơn vị tính: VND > Năm trước > 6.807.830.848-,numeric__Mối quan hệ > Công ty liên kết,numeric__Nội dung nghiệp vụ > Doanh thu dịch vụHoàn trả cọc hợpđồng thuê văn phòng,numeric__Đơn vị tính: VND > Năm nay > 7.027.950.4661.215.535.680,numeric__Đơn vị tính: VND > Năm trước > 6.807.830.848-
Công ty TNHHNăng lượng tái tạo Uni-Vinafor Châu Đức,Công ty TNHHNăng lượng tái tạo Uni-Vinafor Châu Đức,Công ty TNHHNăng lượng tái tạo Uni-Vinafor Châu Đức,Công ty liên kết,Góp vốn,-,12.575.291.000,,,,12575291000.0
Công ty TNHHSản xuất Nguyên liệu giấy Việtnhật Cái Lân,Công ty TNHHSản xuất Nguyên liệu giấy Việtnhật Cái Lân,Công ty TNHHSản xuất Nguyên liệu giấy Việtnhật Cái Lân,Công ty liên kết,Thu tiền phí dịch vụ nội bộGóp vốn bằng tiềnDoanh thu phí dịch vụ nội bộ,1.678.968.000121.495.500.0002.076.140.000,1.039.824.000--,,,1.6789680001214956e+31,
Công ty TNHHSản xuất Nguyên liệu giấy ViệtNhật Vũng Áng,Công ty TNHHSản xuất Nguyên liệu giấy ViệtNhật Vũng Áng,Công ty TNHHSản xuất Nguyên liệu giấy ViệtNhật Vũng Áng,Công ty liên kết,Thu tiền bán hàng hóaDoanh thu bán hàng hóa và cung cấp dịch vụThu tiền phí dịch vụ nội bộDoanh thu dịch vụ nội bộ,412.447.186.940429.153.489.413782.310.000782.310.000,373.713.953.581335.805.310.632779.868.000757.530.000,,,4.124471869404292e+41,3.737139535813358e+41
Công ty TNHHSản xuất Nguyên liệu giấy ViệtNhật,Công ty TNHHSản xuất Nguyên liệu giấy ViệtNhật,Công ty TNHHSản xuất Nguyên liệu giấy ViệtNhật,Công ty liên kết,Tạm ứng tiền mua gỗ nguyên liệuThu tiền phí dịch vụ nội bộDoanh thu dịch vụ nội bộDoanh thu bán hàng,-,6.351.250.000779.868.000757.530.000,,,,6.351250000779868e+27
