row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn góp > Năm trước > 3.500.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 190.096.892.655 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 322.603.880.312 > 262.322.457.746,Đơn vị tính: VND Tổng cộng > Năm trước > 4.012.700.772.967 > 262.322.457.746,numeric__Vốn góp > Năm trước > 3.500.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 190.096.892.655 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 322.603.880.312 > 262.322.457.746,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 4.012.700.772.967 > 262.322.457.746
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,(16.931.486.790),(16.931.486.790),,,-16931486790.0,-16931486790.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,(322.350.000.000),(322.350.000.000),,,-322350000000.0,-322350000000.0
Số cuối năm,Số cuối năm,Số cuối năm,3.500.000.000.000,190.096.892.655,245.644.851.268,3.935.741.743.923,3500000000000.0,190096892655.0,245644851268.0,3935741743923.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,190.096.892.655,245.644.851.268,3.935.741.743.923,3500000000000.0,190096892655.0,245644851268.0,3935741743923.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,271.933.420.223,271.933.420.223,,,271933420223.0,271933420223.0
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,(34.710.614.678),(34.710.614.678),,,-34710614678.0,-34710614678.0
- Chia cổ tức (**),Năm nay > - Chia cổ tức (**),- Chia cổ tức (**),-,-,(226.800.000.000),(226.800.000.000),,,-226800000000.0,-226800000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.500.000.000.000,190.096.892.655,256.067.656.813,3.946.164.549.468,3500000000000.0,190096892655.0,256067656813.0,3946164549468.0
(*) Trích lập quỹ khen thưởng phúc lợi trong năm bao gồm:,(*) Trích lập quỹ khen thưởng phúc lợi trong năm bao gồm:,(*) Trích lập quỹ khen thưởng phúc lợi trong năm bao gồm:,(*) Trích lập quỹ khen thưởng phúc lợi trong năm bao gồm:,(*) Trích lập quỹ khen thưởng phúc lợi trong năm bao gồm:,(*) Trích lập quỹ khen thưởng phúc lợi trong năm bao gồm:,(*) Trích lập quỹ khen thưởng phúc lợi trong năm bao gồm:,,,,
