row_label_raw,row_label_full,Đối tượng,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Công ty TNHH MTVVán dán Vinafor BắcGiang,Công ty TNHH MTVVán dán Vinafor BắcGiang,Công ty TNHH MTVVán dán Vinafor BắcGiang,51.788.070.887,33.058.167.391,79.320.347.598,31.266.320.504,51788070887.0,33058167391.0,79320347598.0,31266320504.0
Công ty TNHH MTVChế biển gỗ và đảmgỗ Dung Quất,Công ty TNHH MTVChế biển gỗ và đảmgỗ Dung Quất,Công ty TNHH MTVChế biển gỗ và đảmgỗ Dung Quất,11.795.214.455,4.812.042.248,14.865.858.290,7.882.686.083,11795214455.0,4812042248.0,14865858290.0,7882686083.0
Công ty Cổ phần SôngĐà 1.01,Công ty Cổ phần SôngĐà 1.01,Công ty Cổ phần SôngĐà 1.01,63.900.000.000,-,-,-,63900000000.0,,,
Phải thu ngắn hạnkhác,Phải thu ngắn hạnkhác,Phải thu ngắn hạnkhác,17.974.488.436,6.372.313.455,30.865.744.342,13.721.449.968,17974488436.0,6372313455.0,30865744342.0,13721449968.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,145.457.773.778,44.242.523.094,125.051.950.230,52.870.456.555,145457773778.0,44242523094.0,125051950230.0,52870456555.0
