row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu lãi tiền gửi ngân hàng,Ngắn hạn > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,48.037.902.437,-,48.046.464.399,-,48037902437.0,,48046464399.0,
Phải thu cổ tức và lợi nhuận được chia,Ngắn hạn > Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,3.218.974.655,-,26.481.758.978,-,3218974655.0,,26481758978.0,
Phải thu về cổ phần hóa các công ty con và liên kết,Ngắn hạn > Phải thu về cổ phần hóa các công ty con và liên kết,Phải thu về cổ phần hóa các công ty con và liên kết,1.097.766.635,(207.520.710),1.097.766.635,(296.954.930),1097766635.0,-207520710.0,1097766635.0,-296954930.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,9.245.159.536,(1.022.356.160),4.060.345.858,(1.251.970.428),9245159536.0,-1022356160.0,4060345858.0,-1251970428.0
Phải thu về hợp tác kinh doanh (*),Ngắn hạn > Phải thu về hợp tác kinh doanh (*),Phải thu về hợp tác kinh doanh (*),63.900.000.000,(63.900.000.000),-,-,63900000000.0,-63900000000.0,,
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,6.321.964.166,-,5.956.050.884,-,6321964166.0,,5956050884.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,10.535.237.264,(1.096.413.959),6.220.953.538,(1.011.666.272),10535237264.0,-1096413959.0,6220953538.0,-1011666272.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,142.357.004.693,(66.226.290.829),91.863.340.292,(2.560.591.630),142357004693.0,-66226290829.0,91863340292.0,-2560591630.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu ngắn hạn khác,Trong đó: > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,129.447.570.018,(64.996.413.959),60.430.989.531,(1.219.186.982),129447570018.0,-64996413959.0,60430989531.0,-1219186982.0
Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 30),Trong đó: > Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 30),Phải thu ngắn hạn khác từ bên liên quan (Thuyết minh số 30),12.909.434.675,(1.229.876.870),31.432.350.761,(1.341.404.648),12909434675.0,-1229876870.0,31432350761.0,-1341404648.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải thu lãi cho vay,Dài hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,27.420.810.806,(2.326.937.275),41.893.233.361,(2.326.937.275),27420810806.0,-2326937275.0,41893233361.0,-2326937275.0
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.541.899.600,-,1.521.120.700,-,1541899600.0,,1521120700.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,28.962.710.406,(2.326.937.275),43.414.354.061,(2.326.937.275),28962710406.0,-2326937275.0,43414354061.0,-2326937275.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu dài hạn khác,Trong đó: > Phải thu dài hạn khác,Phải thu dài hạn khác,1.541.899.600,-,1.521.120.700,-,1541899600.0,,1521120700.0,
Phải thu dài hạn khác từ bên liên quan (Thuyết minh số 30),Trong đó: > Phải thu dài hạn khác từ bên liên quan (Thuyết minh số 30),Phải thu dài hạn khác từ bên liên quan (Thuyết minh số 30),27.420.810.806,(2.326.937.275),41.893.233.361,(2.326.937.275),27420810806.0,-2326937275.0,41893233361.0,-2326937275.0
