row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",1.424.544.893,14.092.779.964,1424544893.0,14092779964.0
Phải trả Ban Thanh lý Xỉ nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xỉ nghiệp Phú Lâm,Phải trả Ban Thanh lý Xỉ nghiệp Phú Lâm,7.090.972.564,6.929.314.758,7090972564.0,6929314758.0
"Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)",1.620.147.547,1.620.147.547,1620147547.0,1620147547.0
Phải trả tiền công đội lâm nghiệp,Ngắn hạn > Phải trả tiền công đội lâm nghiệp,Phải trả tiền công đội lâm nghiệp,8.961.221.296,7.470.192.036,8961221296.0,7470192036.0
"Cổ tức, lợi nhuận phải trả","Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",158.493.435,47.734.035,158493435.0,47734035.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",17.016.929.558,8.969.373.408,17016929558.0,8969373408.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,36.272.309.293,39.129.541.748,36272309293.0,39129541748.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên khác,Trong đó: > Phải trả ngắn hạn khác các bên khác,Phải trả ngắn hạn khác các bên khác,36.262.344.181,39.119.576.636,36262344181.0,39119576636.0
Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),Phải trả ngắn hạn khác cho các bên liên quan (Thuyết minh số 30),9.965.112,9.965.112,9965112.0,9965112.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",16.399.364.305,13.897.532.767,16399364305.0,13897532767.0
Phải trả dài hạn khác,Dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,-,1.215.535.680,,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,16.399.364.305,15.113.068.447,16399364305.0,15113068447.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác các bên khác,Trong đó: > Phải trả dài hạn khác các bên khác,Phải trả dài hạn khác các bên khác,16.399.364.305,13.897.532.767,16399364305.0,13897532767.0
Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),Phải trả dài hạn khác cho các bên liên quan (Thuyết minh số 30),-,1.215.535.680,,1215535680.0
