row_label_raw,row_label_full,col_0,Nhà cửa,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,180.438.060.917,51.273.435.001,231.711.495.918,180438060917.0,51273435001.0,231711495918.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(13.096.416.842),-,(13.096.416.842),-13096416842.0,,-13096416842.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,167.341.644.075,51.273.435.001,218.615.079.076,167341644075.0,51273435001.0,218615079076.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,1.722.751.914,50.649.305.477,52.372.057.391,1722751914.0,50649305477.0,52372057391.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,60.152.053.344,50.794.318.823,110.946.372.167,60152053344.0,50794318823.0,110946372167.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,4.961.738.176,92.603.676,5.054.341.852,4961738176.0,92603676.0,5054341852.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(576.445.391),-,(576.445.391),-576445391.0,,-576445391.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,64.537.346.129,50.886.922.499,115.424.268.628,64537346129.0,50886922499.0,115424268628.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,120.286.007.573,479.116.178,120.765.123.751,120286007573.0,479116178.0,120765123751.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,102.804.297.946,386.512.502,103.190.810.448,102804297946.0,386512502.0,103190810448.0
