row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị còn lại,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Đơn vị tính: VND > Giá trị còn lại,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị còn lại,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Đơn vị tính: VND > Giá trị còn lại
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,607.397.022.557,(23.396.502.190),584.000.520.367,487.478.759.500,(25.567.440.236),461.911.319.264,607397022557.0,-23396502190.0,584000520367.0,487478759500.0,-25567440236.0,461911319264.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",552.542.966.124,(10.199.872.895),542.343.093.229,431.176.467.098,(9.482.450.591),421.694.016.507,552542966124.0,-10199872895.0,542343093229.0,431176467098.0,-9482450591.0,421694016507.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,14.856.366.653,-,14.856.366.653,14.856.366.653,(270.418.500),14.585.948.153,14856366653.0,,14856366653.0,14856366653.0,-270418500.0,14585948153.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.174.796.355.334,(33.596.375.085),1.141.199.980.249,933.511.593.251,(35.320.309.327),898.191.283.924,1174796355334.0,-33596375085.0,1141199980249.0,933511593251.0,-35320309327.0,898191283924.0
"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:","Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn:",,,,,,
,,,,,,,,Đơn vị tính: VND,,,,,,
,,,,,,,Năm nay,Năm trước,,,,,,
Số đầu năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số đầu năm",Số đầu năm,,,,,35.320.309.327,40.415.943.889,,,,,35320309327.0,40415943889.0
Cộng: Dự phòng trích lập trong năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Cộng: Dự phòng trích lập trong năm",Cộng: Dự phòng trích lập trong năm,,,,,851.735.671,3.750.012.643,,,,,851735671.0,3750012643.0
Trừ: Hoàn nhập dự phòng trong năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Trừ: Hoàn nhập dự phòng trong năm",Trừ: Hoàn nhập dự phòng trong năm,,,,,(2.575.669.913),(8.845.647.205),,,,,-2575669913.0,-8845647205.0
Số cuối năm,"Chi tiết tỉnh hình tăng, giảm dự phòng đầu tư tài chính dài hạn: > Số cuối năm",Số cuối năm,,,,,33.596.375.085,35.320.309.327,,,,,33596375085.0,35320309327.0
