row_label_raw,row_label_full,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),,,
"100,00%","Tỷ lệ lợi ích (%) > 100,00%","100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0
"100,00%","Tỷ lệ lợi ích (%) > 100,00%","100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0
"100,00%","Tỷ lệ lợi ích (%) > 100,00%","100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0
"100,00%","Tỷ lệ lợi ích (%) > 100,00%","100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0
"100,00%","Tỷ lệ lợi ích (%) > 100,00%","100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0
"100,00%","Tỷ lệ lợi ích (%) > 100,00%","100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0
"100,00%","Tỷ lệ lợi ích (%) > 100,00%","100,00%","100,00%","100,00%","100,00%",1.0,1.0,1.0
"85,00%","Tỷ lệ lợi ích (%) > 85,00%","85,00%","85,00%","85,00%","85,00%",0.85,0.85,0.85
"96,37%","Tỷ lệ lợi ích (%) > 96,37%","96,37%","96,37%","79,86%","79,86%",0.9637,0.7986,0.7986
"73,04%","Tỷ lệ lợi ích (%) > 73,04%","73,04%","73,04%","73,04%","73,04%",0.7304,0.7304,0.7304
"67,69%","Tỷ lệ lợi ích (%) > 67,69%","67,69%","67,69%","67,69%","67,69%",0.6769,0.6769,0.6769
"61,89%","Tỷ lệ lợi ích (%) > 61,89%","61,89%","61,89%","61,89%","61,89%",0.6189,0.6189,0.6189
"51,84%","Tỷ lệ lợi ích (%) > 51,84%","51,84%","51,84%","51,84%","51,84%",0.5184000000000001,0.5184000000000001,0.5184000000000001
"51,69%","Tỷ lệ lợi ích (%) > 51,69%","51,69%","51,69%","51,69%","51,69%",0.5169,0.5169,0.5169
"51,01%","Tỷ lệ lợi ích (%) > 51,01%","51,01%","51,01%","51,01%","51,01%",0.5101,0.5101,0.5101
"51,00%","Tỷ lệ lợi ích (%) > 51,00%","51,00%","51,00%","51,00%","51,00%",0.51,0.51,0.51
"51,00%","Tỷ lệ lợi ích (%) > 51,00%","51,00%","51,00%","51,00%","51,00%",0.51,0.51,0.51
-,Tỷ lệ lợi ích (%) > -,-,-,"68,59%","68,59%",,0.6859000000000001,0.6859000000000001
