row_label_raw,row_label_full,Tên công ty,Hoạt động kinh doanh chính,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tỷ lệ phần sở hữu,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ phần sở hữu
Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần 479 Hòa Bình,Xây dựng công trình đường sắt và đường bộ,"35,28%","35,28%","35,28%",,0.3528,0.3528,0.3528
Công ty Cổ phần Trang trí Nội thất Onwa Tech (*),Công ty Cổ phần Trang trí Nội thất Onwa Tech (*),Công ty Cổ phần Trang trí Nội thất Onwa Tech (*),"Cung cấp dịch vụ trang trí nội thất, mua bán vật liệu và thiết bị lắp đặt trong xây dựng","25,53%","25,53%","25,53%",,0.2553,0.2553,0.2553
