row_label_raw,row_label_full,Họ và Tên,Quốc tịch,Chức vụ,numeric__Quốc tịch,numeric__Chức vụ
Ông Lê Việt Hiểu,Ông Lê Việt Hiểu,Ông Lê Việt Hiểu,Việt Nam,Phó Tổng Giám đốc thường trực,,
Ông Lê Văn Nam,Ông Lê Văn Nam,Ông Lê Văn Nam,Việt Nam,Tổng Giám đốc (miễn nhiệm từ ngày 31/10/2025),,
Ông Đình Văn Thanh,Ông Đình Văn Thanh,Ông Đình Văn Thanh,Việt Nam,Phó Tổng Giám đốc (miễn nhiệm từ ngày 11/09/2025),,
Ông Nguyễn Khánh Hoàng,Ông Nguyễn Khánh Hoàng,Ông Nguyễn Khánh Hoàng,Việt Nam,Phó Tổng Giám đốc,,
Ông Nguyễn Kinh Luân,Ông Nguyễn Kinh Luân,Ông Nguyễn Kinh Luân,Việt Nam,Phó Tổng Giám đốc,,
Ông Lê Văn Viên,Ông Lê Văn Viên,Ông Lê Văn Viên,Việt Nam,Phó Tổng Giám đốc (miễn nhiệm từ ngày 01/03/2025),,
Ông Huỳnh Tấn Quốc,Ông Huỳnh Tấn Quốc,Ông Huỳnh Tấn Quốc,Việt Nam,Phó Tổng Giám đốc (từ ngày 01/03/2025 đến ngày 04/06/2025),,
Ông Phạm Hồng Hà,Ông Phạm Hồng Hà,Ông Phạm Hồng Hà,Việt Nam,Phó Tổng Giám đốc (từ ngày 04/06/2025 đến ngày 01/09/2025),,
Ông Nguyễn Công Thiện,Ông Nguyễn Công Thiện,Ông Nguyễn Công Thiện,Việt Nam,Phó Tổng Giám đốc (từ ngày 01/08/2025),,
Ông Nguyễn Lâm Văn Trà,Ông Nguyễn Lâm Văn Trà,Ông Nguyễn Lâm Văn Trà,Việt Nam,Phó Tổng Giám đốc (từ ngày 01/11/2025),,
Ông Nguyễn Khánh Tài,Ông Nguyễn Khánh Tài,Ông Nguyễn Khánh Tài,Việt Nam,Phó Tổng Giám đốc (từ ngày 14/02/2026),,
Ông Nguyễn Đức Anh,Ông Nguyễn Đức Anh,Ông Nguyễn Đức Anh,Việt Nam,Giám đốc tài chính,,
Bà Nguyễn Kim Loan,Bà Nguyễn Kim Loan,Bà Nguyễn Kim Loan,Việt Nam,Giám đốc tài chính (miễn nhiệm ngày 05/09/2025),,
