row_label_raw,row_label_full,Tên công ty,Trụ sở chính,Tỷ lệ vốn góp,Tỷ lệ quyền biểu quyết,Tình trạng hoạt động,Hoạt động kinh doanh chính,numeric__Trụ sở chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ quyền biểu quyết,numeric__Tình trạng hoạt động,numeric__Hoạt động kinh doanh chính
Công ty con,Công ty con,Công ty con,,,,,,,,,,
Công ty CP Nhà Hòa Bình,Công ty con > Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,TP. Hồ Chí Minh,"99,96%","99,96%",Đang hoạt động,Kinh doanh và phát triển các dự án bất động sản,,0.9995999999999999,0.9995999999999999,,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty con > Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Tây Ninh,"97,97%","97,97%",Đang hoạt động,"Đầu tư, xây dựng khu công nghiệp",,0.9797,0.9797,,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty con > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,TP. Hồ Chí Minh,"74,58%","74,58%",Đang hoạt động,"Sản xuất, mua bán vật liệu xây dựng; và cung cấp dịch vụ trang trí nội thất",,0.7458,0.7458,,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty con > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,TP. Hồ Chí Minh,"75,00%","75,00%",Đang hoạt động,"Cung cấp dịch vụ thiết kế kiến trúc và tư vấn thiết kế, xây dựng",,0.75,0.75,,
Công ty TNHH Hòa Bình Myanmar,Công ty con > Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,Myanmar,"100,00%","100,00%",Hết hạn theo Giấy phép,"Thiết kế, xây dựng và cung cấp dịch vụ giám định kỹ thuật, quản lý xây dựng và quản lý dự án",,1.0,1.0,,
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty con > Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,TP. Hồ Chí Minh,"51,00%","51,00%",Đang hoạt động,"Tư vấn xây dựng, khảo sát công trình, thiết kế kiến trúc công trình",,0.51,0.51,,
Công ty Cổ phần Thương mại và Đầu tư Pax,Công ty con > Công ty Cổ phần Thương mại và Đầu tư Pax,Công ty Cổ phần Thương mại và Đầu tư Pax,TP. Hồ Chí Minh,"100,00%","100,00%",Đang hoạt động,Bán buôn vật liệu thiết bị lắp đặt trong xây dựng,,1.0,1.0,,
Công ty TNHH MTV Trung tâm Đối mới Sáng tạo Hòa Bình,Công ty con > Công ty TNHH MTV Trung tâm Đối mới Sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm Đối mới Sáng tạo Hòa Bình,TP. Hồ Chí Minh,"100,00%","100,00%",Đang hoạt động,Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học kỹ thuật,,1.0,1.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,
Công ty CP 479 Hòa Bình,Công ty liên kết > Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Nghệ An,"35,28%","35,28%",Đang hoạt động,Xây dựng công trình đường sắt và đường bộ,,0.3528,0.3528,,
Công ty CP Trang trí Nội thất Onwa Tech,Công ty liên kết > Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,TP. Hồ Chí Minh,"25,53%","25,53%",Đang hoạt động,"Cung cấp dịch vụ trang trí nội thất, mua bán vật liệu và thiết bị lắp đặt trong xây dựng",,0.2553,0.2553,,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,,,,,,,,,
Công ty CP Du lịch Hòa Bình Việt Nam,Đầu tư dài hạn khác > Công ty CP Du lịch Hòa Bình Việt Nam,Công ty CP Du lịch Hòa Bình Việt Nam,TP. Hồ Chí Minh,"10,00%","10,00%",Đang hoạt động,"Cung cấp dịch vụ lữ hành, du lịch, vận chuyển hành khách",,0.1,0.1,,
Công ty CP Sài Gòn - Rach Giá,Đầu tư dài hạn khác > Công ty CP Sài Gòn - Rach Giá,Công ty CP Sài Gòn - Rach Giá,An Giang,"10,24%","10,24%",Đang hoạt động,Cung cấp dịch vụ lưu trú ngắn ngày,,0.1024,0.1024,,
