row_label_raw,row_label_full,"5.6 Các khoản phải thu ngắn hạn, dài hạn khác","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_1","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_2","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_3","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_4","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_5","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_1","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_2","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_3","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_4","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_5"
5.6.1 Phải thu ngắn hạn khác,5.6.1 Phải thu ngắn hạn khác,5.6.1 Phải thu ngắn hạn khác,5.6.1 Phải thu ngắn hạn khác,5.6.1 Phải thu ngắn hạn khác,5.6.1 Phải thu ngắn hạn khác,5.6.1 Phải thu ngắn hạn khác,5.6.1 Phải thu ngắn hạn khác,,,,,
,,,,31/12/2025,31/12/2025,01/01/2025,01/01/2025,,,,,
,,,,Giá trị VND,Dự phòng VND,Giá trị VND,Dự phòng VND,,,,,
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,,,,,
- Thực hiện thỏa thuận về phát hành cổ phiếu cho đối tác,Tạm ứng cho nhân viên > - Thực hiện thỏa thuận về phát hành cổ phiếu cho đối tác,- Thực hiện thỏa thuận về phát hành cổ phiếu cho đối tác,- Thực hiện thỏa thuận về phát hành cổ phiếu cho đối tác,-,-,99.500.000.000,-,,,,99500000000.0,
- Đề mua cổ phần tại Công ty CP Đầu tư Pax International,Tạm ứng cho nhân viên > - Đề mua cổ phần tại Công ty CP Đầu tư Pax International,- Đề mua cổ phần tại Công ty CP Đầu tư Pax International,- Đề mua cổ phần tại Công ty CP Đầu tư Pax International,-,-,138.451.358.600,-,,,,138451358600.0,
"- Tạm ứng chi phí vật tư, hàng hóa công trình và công tác phí","Tạm ứng cho nhân viên > - Tạm ứng chi phí vật tư, hàng hóa công trình và công tác phí","- Tạm ứng chi phí vật tư, hàng hóa công trình và công tác phí","- Tạm ứng chi phí vật tư, hàng hóa công trình và công tác phí",23.528.628.623,(9.352.715.016),332.977.916.962,(82.266.753.480),,23528628623.0,-9352715016.0,332977916962.0,-82266753480.0
Tạm ứng cho Chủ tịch Hội đồng quản trị,Tạm ứng cho nhân viên > Tạm ứng cho Chủ tịch Hội đồng quản trị,Tạm ứng cho Chủ tịch Hội đồng quản trị,Tạm ứng cho Chủ tịch Hội đồng quản trị,-,-,120.000.000.000,-,,,,120000000000.0,
Phải thu về chi hô (i),Tạm ứng cho nhân viên > Phải thu về chi hô (i),Phải thu về chi hô (i),Phải thu về chi hô (i),509.930.288.575,-,483.233.833.722,-,,509930288575.0,,483233833722.0,
Phải thu Công ty CP Đầu tư Địa ốc Tiến Phát liên quan dự án Thạch Bàn Lakeside (ii),Tạm ứng cho nhân viên > Phải thu Công ty CP Đầu tư Địa ốc Tiến Phát liên quan dự án Thạch Bàn Lakeside (ii),Phải thu Công ty CP Đầu tư Địa ốc Tiến Phát liên quan dự án Thạch Bàn Lakeside (ii),Phải thu Công ty CP Đầu tư Địa ốc Tiến Phát liên quan dự án Thạch Bàn Lakeside (ii),67.206.743.241,(67.206.743.241),67.206.743.241,(67.206.743.241),,67206743241.0,-67206743241.0,67206743241.0,-67206743241.0
