row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,4.131.442.106.837,5.317.288.131.889,1.0,,4131442106837.0,5317288131889.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,6.1,4.131.442.106.837,5.317.288.131.889,10.0,61.0,4131442106837.0,5317288131889.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,6.2,3.950.446.241.922,5.166.475.166.469,11.0,62.0,3950446241922.0,5166475166469.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,180.995.864.915,150.812.965.420,20.0,,180995864915.0,150812965420.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,6.3,621.677.869.692,341.773.595.142,21.0,63.0,621677869692.0,341773595142.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,6.4,374.511.489.535,346.542.442.897,22.0,64.0,374511489535.0,346542442897.0
"- Trong đó, chi phí lãi vay","- Trong đó, chi phí lãi vay","- Trong đó, chi phí lãi vay",23,,369.848.656.498,395.349.976.304,23.0,,369848656498.0,395349976304.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,-,-,25.0,,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,6.5,33.200.645.554,(168.103.883.799),26.0,65.0,33200645554.0,-168103883799.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,394.961.599.518,314.148.001.464,30.0,,394961599518.0,314148001464.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,6.6,265.173.636.923,607.960.386.052,31.0,66.0,265173636923.0,607960386052.0
Chi phí khác,Chi phí khác,Chi phí khác,32,6.7,13.810.209.296,8.237.428.822,32.0,67.0,13810209296.0,8237428822.0
Lợi nhuận/ (lỗ) khác,Lợi nhuận/ (lỗ) khác,Lợi nhuận/ (lỗ) khác,40,,251.363.427.627,599.722.957.230,40.0,,251363427627.0,599722957230.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,646.325.027.145,913.870.958.694,50.0,,646325027145.0,913870958694.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,5.16,-,-,51.0,516.0,,
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,5.16,37.621.667,616.423.333,52.0,516.0,37621667.0,616423333.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,646.287.405.478,913.254.535.361,60.0,,646287405478.0,913254535361.0
