row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị VND,31/12/2025 > Số có khả năng trả nợ VND,01/01/2025 > Giá trị VND,01/01/2025 > Số có khả năng trả nợ VND,numeric__31/12/2025 > Giá trị VND,numeric__31/12/2025 > Số có khả năng trả nợ VND,numeric__01/01/2025 > Giá trị VND,numeric__01/01/2025 > Số có khả năng trả nợ VND
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,,,,
Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Phải trả các bên liên quan > Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát,922.302.721,922.302.721,262.302.721,262.302.721,922302721.0,922302721.0,262302721.0,262302721.0
Công ty CP Interhouse LA,Phải trả các bên liên quan > Công ty CP Interhouse LA,Công ty CP Interhouse LA,-,-,25.247.895.569,25.247.895.569,,,25247895569.0,25247895569.0
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Phải trả các bên liên quan > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,5.969.616.036,5.969.616.036,6.465.209.125,6.465.209.125,5969616036.0,5969616036.0,6465209125.0,6465209125.0
Công ty CP Trang trí Nội thất Onwa Tech,Phải trả các bên liên quan > Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,11.697.605.217,11.697.605.217,11.707.359.994,11.707.359.994,11697605217.0,11697605217.0,11707359994.0,11707359994.0
Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Phải trả các bên liên quan > Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,Công ty CP Đầu tư và Năng lượng Tái tạo Hòa Bình,4.221.066.046,4.221.066.046,4.221.066.046,4.221.066.046,4221066046.0,4221066046.0,4221066046.0,4221066046.0
Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Phải trả các bên liên quan > Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,Công ty TNHH Sản xuất và Trang trí Mộc Hòa Bình,2.345.466.912,2.345.466.912,2.345.466.912,2.345.466.912,2345466912.0,2345466912.0,2345466912.0,2345466912.0
Công ty CP Nhà Hòa Bình,Phải trả các bên liên quan > Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,4.917.956.581,4.917.956.581,4.917.956.581,4.917.956.581,4917956581.0,4917956581.0,4917956581.0,4917956581.0
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Phải trả các bên liên quan > Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,994.075.040,994.075.040,994.075.040,994.075.040,994075040.0,994075040.0,994075040.0,994075040.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Phải trả các bên liên quan > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,2.777.328.933,2.777.328.933,820.699.245,820.699.245,2777328933.0,2777328933.0,820699245.0,820699245.0
