row_label_raw,row_label_full,col_0,31/12/2025 > Giá gốc VND,31/12/2025 > Dự phòng VND,31/12/2025 > Giá trị hợp lý VND,01/01/2025 > Giá gốc VND,01/01/2025 > Dự phòng VND,01/01/2025 > Giá trị hợp lý VND,numeric__31/12/2025 > Giá gốc VND,numeric__31/12/2025 > Dự phòng VND,numeric__31/12/2025 > Giá trị hợp lý VND,numeric__01/01/2025 > Giá gốc VND,numeric__01/01/2025 > Dự phòng VND,numeric__01/01/2025 > Giá trị hợp lý VND
Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,Công ty CP 479 Hòa Bình,85.000.000.000,-,(*),85.000.000.000,-,(*),85000000000.0,,,85000000000.0,,
Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,Công ty CP Trang trí Nội thất Onwa Tech,6.000.000.000,(4.172.673.523),(*),6.000.000.000,(3.657.314.276),(*),6000000000.0,-4172673523.0,,6000000000.0,-3657314276.0,
,,,91.000.000.000,(4.172.673.523),,91.000.000.000,(3.657.314.276),,91000000000.0,-4172673523.0,,91000000000.0,-3657314276.0,
(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,(c) Đầu tư góp vốn vào đơn vị khác,,,,,,
,,,31/12/2025,31/12/2025,31/12/2025,01/01/2025,01/01/2025,01/01/2025,,,,,,
,,,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,,,,,,
Công ty CP Du lịch Hòa Bình Việt Nam,(c) Đầu tư góp vốn vào đơn vị khác > Công ty CP Du lịch Hòa Bình Việt Nam,Công ty CP Du lịch Hòa Bình Việt Nam,21.405.000.000,-,(*),21.405.000.000,-,(*),21405000000.0,,,21405000000.0,,
Công ty CP Sài Gòn - Rạch Giá,(c) Đầu tư góp vốn vào đơn vị khác > Công ty CP Sài Gòn - Rạch Giá,Công ty CP Sài Gòn - Rạch Giá,13.637.400.000,(13.637.400.000),(*),13.637.400.000,(13.635.758.080),(*),13637400000.0,-13637400000.0,,13637400000.0,-13635758080.0,
Công ty CP Jesco Asia (**),(c) Đầu tư góp vốn vào đơn vị khác > Công ty CP Jesco Asia (**),Công ty CP Jesco Asia (**),-,-,,4.185.000.000,(454.614.718),(*),,,,4185000000.0,-454614718.0,
,,,35.042.400.000,(13.637.400.000),,39.227.400.000,(14.090.372.798),,35042400000.0,-13637400000.0,,39227400000.0,-14090372798.0,
