row_label_raw,row_label_full,Đối tượng liên quan,Nội dung giao dịch,Năm 2025 VND,Năm 2024 VND,numeric__Nội dung giao dịch,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,,,
,,,Hoàn tạm ứng,120.366.414.329,-,,120366414329.0,
,,,Tạm ứng,436.209.212,-,,436209212.0,
Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,Bà Bùi Ngọc Mai,,,
,,,Phí bảo lãnh tài sản,502.722.430,-,,502722430.0,
,,,Thanh toán phí bảo lãnh tài sản,368.072.413,-,,368072413.0,
Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,,,
,,,Tạm ứng trong năm,3.414.215.815,-,,3414215815.0,
,,,Hoàn ứng,3.445.395.168,-,,3445395168.0,
Bà Lê Thị Phương Uyên,Bà Lê Thị Phương Uyên,Bà Lê Thị Phương Uyên,Bà Lê Thị Phương Uyên,Bà Lê Thị Phương Uyên,Bà Lê Thị Phương Uyên,,,
,,,Trả nợ vay ngắn hạn,1.400.000.000,-,,1400000000.0,
