row_label_raw,row_label_full,col_0,col_1,col_2,col_3,col_4,phát sinh từ Hợp đồng thi công xây dựng số 03/XL-NOXHPT-HB-QT và các khoản bảo lãnh thanh toán theo hợp đồng,numeric__col_1,numeric__col_2,numeric__col_3,numeric__col_4,numeric__phát sinh từ Hợp đồng thi công xây dựng số 03/XL-NOXHPT-HB-QT và các khoản bảo lãnh thanh toán theo hợp đồng
Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,Ngân hàng TMCP Việt Nam Thịnh Vượng,7.341.504.737,Bổ sung vốn đề thực hiện hoạt động kinh doanh,Theo từng làn giải ngân,Từ ngày 25/04/2026 đến ngày 20/06/2026,Phải thu ngắn hạn của khách hàng,7341504737.0,,,,
Ngân hàng TMCP Đông Nam Á - Sở giao dịch,Ngân hàng TMCP Đông Nam Á - Sở giao dịch,Ngân hàng TMCP Đông Nam Á - Sở giao dịch,115.795.052.875,Bổ sung vốn đề thực hiện hoạt động kinh doanh,"5,9% - 7,85%/năm",Từ ngày 06/01/2026 đến ngày 17/06/2026 (theo từng khế ước nhận nợ),không,115795052875.0,,,,
Công ty Cổ Phần Interhouse LA,Công ty Cổ Phần Interhouse LA,Công ty Cổ Phần Interhouse LA,47.692.452.543,Bổ sung vốn đề thực hiện hoạt động kinh doanh,"9,2%/năm",12 tháng,Tín chấp,47692452543.0,,,,
Vay các đối tượng khác,Vay các đối tượng khác,Vay các đối tượng khác,2.560.898.166,Bổ sung vốn đề thực hiện hoạt động kinh doanh,"Lãi suất dao động từ 0%/năm đến 7,5%/năm",Từ 6 tháng đến 12 tháng,Tín chấp,2560898166.0,,,,
,,,3.394.071.423.968,,,,,3394071423968.0,,,,
