row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD,LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỆ TỪ HOẠT ĐỘNG SXKD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,646.325.027.145,913.870.958.694,1.0,,646325027145.0,913870958694.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,
Khấu hao tài sản cố định,Điều chỉnh cho các khoản > Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,6.8,197.493.681.929,145.698.821.577,2.0,68.0,197493681929.0,145698821577.0
Các khoản dự phòng/(hoàn nhập),Điều chỉnh cho các khoản > Các khoản dự phòng/(hoàn nhập),Các khoản dự phòng/(hoàn nhập),03,,(206.182.833.707),(481.424.685.662),3.0,,-206182833707.0,-481424685662.0
"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản",,,,
mục tiền tệ có gốc ngoại tệ,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > mục tiền tệ có gốc ngoại tệ",mục tiền tệ có gốc ngoại tệ,04,,250.092.749,(9.149.799),4.0,,250092749.0,-9149799.0
"(Lãi), lỗ từ hoạt động đầu tư","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > (Lãi), lỗ từ hoạt động đầu tư","(Lãi), lỗ từ hoạt động đầu tư",05,,(505.578.133.141),(843.480.482.818),5.0,,-505578133141.0,-843480482818.0
Chi phí lãi vay,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Chi phí lãi vay",Chi phí lãi vay,06,6.4,369.848.656.498,395.349.976.304,6.0,64.0,369848656498.0,395349976304.0
Các khoản điều chỉnh khác,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Các khoản điều chỉnh khác",Các khoản điều chỉnh khác,07,,-,-,7.0,,,
