row_label_raw,row_label_full,Công ty liên quan,Nội dung giao dịch,Năm 2025 VND,Năm 2024 VND,numeric__Nội dung giao dịch,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,,,
,,,Chỉ cho vay,10.760.000.000,72.195.843.557,,10760000000.0,72195843557.0
,,,Thu lại tiền cho vay,-,24.224.561.424,,,24224561424.0
,,,Lãi phát sinh từ cho vay,79.300.235.494,72.195.843.557,,79300235494.0,72195843557.0
,,,Đặt cọc thuê văn phòng,-,16.457.245.200,,,16457245200.0
,,,Chỉ phí thuê văn phòng,-,11.003.294.323,,,11003294323.0
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,,,
,,,Đi vay,-,326.418.230.178,,,326418230178.0
,,,Trả tiền đi vay,9.842.040.000,205.411.482.584,,9842040000.0,205411482584.0
,,,Cho vay,16.515.284.254,-,,16515284254.0,
,,,Thu lại tiền cho vay,12.002.301.370,-,,12002301370.0,
,,,Lãi đi vay,2.930.514.571,6.564.773.932,,2930514571.0,6564773932.0
,,,Mua dịch vụ (thuế mặt bằng),20.507.962.200,18.643.602.000,,20507962200.0,18643602000.0
,,,Ứng trước người bán,-,114.580.320.806,,,114580320806.0
,,,Cổ tức được chia,111.128.543.457,-,,111128543457.0,
,,,Lãi cho vay,207.284.254,-,,207284254.0,
,,,Cấn trừ công nợ vay,121.164.707.594,,,121164707594.0,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,,,
,,,Lãi đi vay,612.500.001,614.178.083,,612500001.0,614178083.0
