row_label_raw,row_label_full,5.13.2 Đầu tư tài chính dài hạn,5.13.2 Đầu tư tài chính dài hạn_1,5.13.2 Đầu tư tài chính dài hạn_2,5.13.2 Đầu tư tài chính dài hạn_3,5.13.2 Đầu tư tài chính dài hạn_4,5.13.2 Đầu tư tài chính dài hạn_5,5.13.2 Đầu tư tài chính dài hạn_6,numeric__5.13.2 Đầu tư tài chính dài hạn_1,numeric__5.13.2 Đầu tư tài chính dài hạn_2,numeric__5.13.2 Đầu tư tài chính dài hạn_3,numeric__5.13.2 Đầu tư tài chính dài hạn_4,numeric__5.13.2 Đầu tư tài chính dài hạn_5,numeric__5.13.2 Đầu tư tài chính dài hạn_6
,,,,,,31/12/2025VND,01/01/2025VND,01/01/2025VND,,,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,(a),,,749.370.551.887,720.102.995.795,720.102.995.795,,,,749370551887.0,720102995795.0,720102995795.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",(b),,,91.000.000.000,91.000.000.000,91.000.000.000,,,,91000000000.0,91000000000.0,91000000000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,(c),,,35.042.400.000,39.227.400.000,39.227.400.000,,,,35042400000.0,39227400000.0,39227400000.0
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,(d),,,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0
Dự phòng giảm giá đầu tư,Dự phòng giảm giá đầu tư,Dự phòng giảm giá đầu tư,,,,(473.000.341.130),(470.888.587.631),(470.888.587.631),,,,-473000341130.0,-470888587631.0,-470888587631.0
,,,,,,404.412.610.757,381.441.808.163,381.441.808.163,,,,404412610757.0,381441808163.0,381441808163.0
(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,(a) Đầu tư vào công ty con,,,,,,
,,,31/12/2025,31/12/2025,31/12/2025,01/01/2025,01/01/2025,01/01/2025,,,,,,
,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,,,,,,
Công ty CP Nhà Hòa Bình,(a) Đầu tư vào công ty con > Công ty CP Nhà Hòa Bình,Công ty CP Nhà Hòa Bình,449.800.000.000,(449.800.000.000),(*),449.800.000.000,(449.800.000.000),(*),449800000000.0,-449800000000.0,,449800000000.0,-449800000000.0,
Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,(a) Đầu tư vào công ty con > Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty CP Đầu tư Xây dựng Hạ tầng Hòa Bình,256.208.939.051,-,(*),256.208.939.051,-,(*),256208939051.0,,,256208939051.0,,
Công ty Cổ phần Sơn và Chất phủ Hòa Bình,(a) Đầu tư vào công ty con > Công ty Cổ phần Sơn và Chất phủ Hòa Bình,Công ty Cổ phần Sơn và Chất phủ Hòa Bình,34.018.060.000,-,(*),6.800.000.000,-,(*),34018060000.0,,,6800000000.0,,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,(a) Đầu tư vào công ty con > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,1.500.000.000,-,(*),1.500.000.000,-,(*),1500000000.0,,,1500000000.0,,
Công ty TNHH Hòa Bình Myanmar,(a) Đầu tư vào công ty con > Công ty TNHH Hòa Bình Myanmar,Công ty TNHH Hòa Bình Myanmar,1.066.500.000,-,(*),1.066.500.000,-,(*),1066500000.0,,,1066500000.0,,
Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,(a) Đầu tư vào công ty con > Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,Công ty TNHH Quy hoạch và Kiến trúc Hòa Bình,1.020.000.000,(333.214.771),(*),1.020.000.000,(333.343.813),(*),1020000000.0,-333214771.0,,1020000000.0,-333343813.0,
Công ty Cổ phần Thương mại và Đầu tư Pax,(a) Đầu tư vào công ty con > Công ty Cổ phần Thương mại và Đầu tư Pax,Công ty Cổ phần Thương mại và Đầu tư Pax,700.000.000,-,(*),700.000.000,-,(*),700000000.0,,,700000000.0,,
Công ty TNHH MTV Trung tâm Đối mới Sáng tạo Hòa Bình,(a) Đầu tư vào công ty con > Công ty TNHH MTV Trung tâm Đối mới Sáng tạo Hòa Bình,Công ty TNHH MTV Trung tâm Đối mới Sáng tạo Hòa Bình,5.057.052.836,(5.057.052.836),(*),3.007.556.744,(3.007.556.744),(*),5057052836.0,-5057052836.0,,3007556744.0,-3007556744.0,
,,,749.370.551.887,(455.190.267.607),,720.102.995.795,(453.140.900.557),,749370551887.0,-455190267607.0,,720102995795.0,-453140900557.0,
