row_label_raw,row_label_full,col_0,Trang,numeric__Trang
BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,1 – 3,
BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,4 – 5,
BÁO CÁO TÀI CHÍNH ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH ĐÃ ĐƯỢC KIỂM TOÁN,BÁO CÁO TÀI CHÍNH ĐÃ ĐƯỢC KIỂM TOÁN,,
Bằng cân đối kế toán,Bằng cân đối kế toán,Bằng cân đối kế toán,6 – 9,
Báo cáo kết quả hoạt động kinh doanh,Bằng cân đối kế toán > Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh,10,10.0
Báo cáo lưu chuyển tiền tệ,Bằng cân đối kế toán > Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,11,11.0
Thuyết minh báo cáo tài chính,Thuyết minh báo cáo tài chính,Thuyết minh báo cáo tài chính,12 – 57,
