row_label_raw,row_label_full,col_0,01/01/2025,Số phát sinh trong năm,Số phát sinh trong năm_1,31/12/2025,numeric__01/01/2025,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__31/12/2025
,,,Phải nộpVND,Số phải nộpVND,Số đã nộpVND,Phải nộpVND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,195.418.071.708,(32.207.096.873),(74.114.784.218),89.096.190.617,195418071708.0,-32207096873.0,-74114784218.0,89096190617.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.452.757.958,14.908.758.627,(10.457.690.126),8.903.826.459,4452757958.0,14908758627.0,-10457690126.0,8903826459.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,-,18.970.741,(18.970.741),-,,18970741.0,-18970741.0,
Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,10.633.500,3.000.000,(3.000.000),10.633.500,10633500.0,3000000.0,-3000000.0,10633500.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",3.083.227.731,4.301.522.869,(7.384.750.600),-,3083227731.0,4301522869.0,-7384750600.0,
,,,202.964.690.897,(12.974.844.636),(91.979.195.685),98.010.650.576,202964690897.0,-12974844636.0,-91979195685.0,98010650576.0
