row_label_raw,row_label_full,Năm phát sinh,Có thể được chuyên thành chi phí lãi vay được trừ thuế đến năm,Chi phí lãi vay chưa được trừ thuế phát sinh,Chi phí lãi vay chưa được trừ đã chuyển sang năm sau tính đến ngày 31/12/2025,Chi phí lãi vay chưa được trừ không còn được chuyển sang năm sau đến ngày 31/12/2025,Chi phí lãi vay chưa được trừ chưa chuyển sang năm sau tại ngày 31/12/2025,numeric__Có thể được chuyên thành chi phí lãi vay được trừ thuế đến năm,numeric__Chi phí lãi vay chưa được trừ thuế phát sinh,numeric__Chi phí lãi vay chưa được trừ đã chuyển sang năm sau tính đến ngày 31/12/2025,numeric__Chi phí lãi vay chưa được trừ không còn được chuyển sang năm sau đến ngày 31/12/2025,numeric__Chi phí lãi vay chưa được trừ chưa chuyển sang năm sau tại ngày 31/12/2025
,,,,VND,VND,VND,VND,,,,,
2021,2021,2021,2026,36.407.344.359,31.488.847.981,4.918.496.378,-,2026.0,36407344359.0,31488847981.0,4918496378.0,
2022,2022,2022,2027,379.634.027.314,-,52.484.117.156,327.149.910.158,2027.0,379634027314.0,,52484117156.0,327149910158.0
2023,2023,2023,2028,537.208.717.239,-,-,537.208.717.239,2028.0,537208717239.0,,,537208717239.0
,,,,953.250.088.912,31.488.847.981,57.402.613.534,864.358.627.397,,953250088912.0,31488847981.0,57402613534.0,864358627397.0
