row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 01/01/2025,Nguyên giá > Tại ngày 01/01/2025,Tại ngày 01/01/2025,5.124.410.448,1.397.149.828.172,56.417.175.147,15.676.816.485,1.474.368.230.252,5124410448.0,1397149828172.0,56417175147.0,15676816485.0,1474368230252.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,847.934.576.172,-,5.031.403.015,852.965.979.187,,847934576172.0,,5031403015.0,852965979187.0
Giảm do thanh lý,Nguyên giá > Giảm do thanh lý,Giảm do thanh lý,-,(231.024.088.669),(564.602.468),-,(231.588.691.137),,-231024088669.0,-564602468.0,,-231588691137.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(67.717.273),33.750.000,33.967.273,-,,-67717273.0,33750000.0,33967273.0,
Tại ngày 31/12/2025,Nguyên giá > Tại ngày 31/12/2025,Tại ngày 31/12/2025,5.124.410.448,2.013.992.598.402,55.886.322.679,20.742.186.773,2.095.745.518.302,5124410448.0,2013992598402.0,55886322679.0,20742186773.0,2095745518302.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Tại ngày 01/01/2025,Giá trị hao mòn lũy kế > Tại ngày 01/01/2025,Tại ngày 01/01/2025,4.517.218.939,902.139.078.716,48.772.814.882,15.154.016.860,970.583.129.397,4517218939.0,902139078716.0,48772814882.0,15154016860.0,970583129397.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,190.718.412,192.545.248.093,3.407.403.313,1.091.126.290,197.234.496.108,190718412.0,192545248093.0,3407403313.0,1091126290.0,197234496108.0
Giảm do thanh lý,Giá trị hao mòn lũy kế > Giảm do thanh lý,Giảm do thanh lý,-,(110.548.556.021),(553.075.557),-,(111.101.631.578),,-110548556021.0,-553075557.0,,-111101631578.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,292.524.965,(190.166.781),(102.358.184),-,,292524965.0,-190166781.0,-102358184.0,
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế > Tại ngày 31/12/2025,Tại ngày 31/12/2025,4.707.937.351,984.428.295.753,51.436.975.857,16.142.784.966,1.056.715.993.927,4707937351.0,984428295753.0,51436975857.0,16142784966.0,1056715993927.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 01/01/2025,Giá trị còn lại > Tại ngày 01/01/2025,Tại ngày 01/01/2025,607.191.509,495.010.749.456,7.644.360.265,522.799.625,503.785.100.855,607191509.0,495010749456.0,7644360265.0,522799625.0,503785100855.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,416.473.097,1.029.564.302.649,4.449.346.822,4.599.401.807,1.039.029.524.375,416473097.0,1029564302649.0,4449346822.0,4599401807.0,1039029524375.0
