row_label_raw,row_label_full,Ông Phạm Hồng Công,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Ông Thái Đình Long,Ông Thái Đình Long,Ông Thái Đình Long,Thành viên,
Bà Trương Thị Kim Thư,Bà Trương Thị Kim Thư,Bà Trương Thị Kim Thư,Thành viên,
