row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__col_1,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
,,,,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Dưới 01 tháng,Từ 01 đến 03 tháng,Từ trên 03 đến 06 tháng,Từ trên 06 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,
I,NỘ PHẢI TRẢ > I,I,Các khoản nợ chính phủ và NHNN,-,-,-,-,-,-,-,24.116,24.116,,,,,,,,,24116.0,24116.0
II,NỘ PHẢI TRẢ > II,II,Tiền gửi và vay các TCTD khác,-,-,11.134.603,24.150,-,-,-,-,11.158.753,,,,11134603.0,24150.0,,,,,11158753.0
III,NỘ PHẢI TRẢ > III,III,Tiền gửi của khách hàng,-,183.501,11.770.579,7.452.095,12.456.596,19.429.397,25.662.768,41.521.987,118.476.923,,,183501.0,11770579.0,7452095.0,12456596.0,19429397.0,25662768.0,41521987.0,118476923.0
IV,NỘ PHẢI TRẢ > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,97.173,-,-,-,-,-,97.173,,,,97173.0,,,,,,97173.0
V,NỘ PHẢI TRẢ > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,9.807,-,9.807,,,,,,,,9807.0,,9807.0
VI,NỘ PHẢI TRẢ > VI,VI,Phát hành giấy tờ có giá,-,-,-,-,-,-,4.801.950,2.260.400,7.062.350,,,,,,,,4801950.0,2260400.0,7062350.0
VII,NỘ PHẢI TRẢ > VII,VII,Các khoản nợ khác,-,4.545.690,-,-,-,-,-,-,4.545.690,,,4545690.0,,,,,,,4545690.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,-,4.729.191,23.002.355,7.476.245,12.456.596,19.429.397,30.474.525,43.806.503,141.374.812,,,4729191.0,23002355.0,7476245.0,12456596.0,19429397.0,30474525.0,43806503.0,141374812.0
Mức chênh nhạy cảm với lãi suất nội bằng,NỘ PHẢI TRẢ > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,1.851.314,1.224.967,997.608,1.558.693,3.345.517,684.345,1.382.366,1.064.945,12.109.755,,1851314.0,1224967.0,997608.0,1558693.0,3345517.0,684345.0,1382366.0,1064945.0,12109755.0
