row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,13.680.207,10.472.079,27.639,6.907,521.832,468.113,-,-,14.229.678,10.947.099,13680207.0,10472079.0,27639.0,6907.0,521832.0,468113.0,,,14229678.0,10947099.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,13.362.956,10.329.794,-,-,21.328,12.225,-,-,13.384.284,10.342.019,13362956.0,10329794.0,,,21328.0,12225.0,,,13384284.0,10342019.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,317.251,142.285,27.639,6.907,-,-,-,-,344.890,149.192,317251.0,142285.0,27639.0,6907.0,,,,,344890.0,149192.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,500.504,455.888,-,-,500.504,455.888,,,,,500504.0,455888.0,,,500504.0,455888.0
II. Chi phí,II. Chi phí,II. Chi phí,(10.992.611),(7.863.628),-,-,(190.752),(215.795),(1.832.913),(1.716.333),(13.016.276),(9.795.756),-10992611.0,-7863628.0,,,-190752.0,-215795.0,-1832913.0,-1716333.0,-13016276.0,-9795756.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(10.995.013),(7.828.820),-,-,-,-,-,-,(10.995.013),(7.828.820),-10995013.0,-7828820.0,,,,,,,-10995013.0,-7828820.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,(46.447),(42.258),(46.447),(42.258),,,,,,,-46447.0,-42258.0,-46447.0,-42258.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,2.402,(34.808),-,-,(190.752),(215.795),(1.786.466),(1.674.075),(1.974.816),(1.924.678),2402.0,-34808.0,,,-190752.0,-215795.0,-1786466.0,-1674075.0,-1974816.0,-1924678.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,2.687.596,2.608.451,27.639,6.907,331.080,252.318,(1.832.913),(1.716.333),1.213.402,1.151.343,2687596.0,2608451.0,27639.0,6907.0,331080.0,252318.0,-1832913.0,-1716333.0,1213402.0,1151343.0
(Chi phí)/Hoàn nhập dự phòng rải ro,(Chi phí)/Hoàn nhập dự phòng rải ro,(Chi phí)/Hoàn nhập dự phòng rải ro,(152.568),(112.384),-,-,-,-,-,-,(152.568),(112.384),-152568.0,-112384.0,,,,,,,-152568.0,-112384.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.535.028,2.496.067,27.639,6.907,331.080,252.318,(1.832.913),(1.716.333),1.060.834,1.038.959,2535028.0,2496067.0,27639.0,6907.0,331080.0,252318.0,-1832913.0,-1716333.0,1060834.0,1038959.0
