row_label_raw,row_label_full,Bà Thái Hương,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Đăng Trung Dũng,Ông Đăng Trung Dũng,Ông Đăng Trung Dũng,Phó Tổng Giám đốc thường trực,,,
Ông Chu Nguyên Binh,Ông Chu Nguyên Binh,Ông Chu Nguyên Binh,Phó Tổng Giám đốc,,,
Ông Trương Vĩnh Lợi,Ông Trương Vĩnh Lợi,Ông Trương Vĩnh Lợi,Phó Tổng Giám đốc,,,
Ông Võ Văn Quang,Ông Võ Văn Quang,Ông Võ Văn Quang,Phó Tổng Giám đốc,,,
Ông Nguyễn Trọng Trung,Ông Nguyễn Trọng Trung,Ông Nguyễn Trọng Trung,Phó Tổng Giám đốc,,,
Ông Nguyễn Việt Hanh,Ông Nguyễn Việt Hanh,Ông Nguyễn Việt Hanh,Phó Tổng Giám đốc,,,
Ông Lê Ngọc Hồng Nhật,Ông Lê Ngọc Hồng Nhật,Ông Lê Ngọc Hồng Nhật,Phó Tổng Giám đốc,,,
Ông Nguyễn Ái Dân,Ông Nguyễn Ái Dân,Ông Nguyễn Ái Dân,Phó Tổng Giám đốc,,,
Bà Thái Thị Nga,Bà Thái Thị Nga,Bà Thái Thị Nga,Phó Tổng Giám đốc,Bổ nhiệm ngày 03/10/2023,,
Bà Nguyễn Hồng Yến,Bà Nguyễn Hồng Yến,Bà Nguyễn Hồng Yến,Kế toán trưởng,,,
