row_label_raw,row_label_full,Ngoại tệ,31/12/2023,31/12/2022,numeric__31/12/2023,numeric__31/12/2022
Ngoại tệ,Ngoại tệ,Ngoại tệ,VND,VND,,
USD,Ngoại tệ > USD,USD,"24.150,00","23.550,00",24150.0,23550.0
EUR,Ngoại tệ > EUR,EUR,"26.600,00","24.990,00",26600.0,24990.0
JPY,Ngoại tệ > JPY,JPY,"170,00","175,00",170.0,175.0
AUD,Ngoại tệ > AUD,AUD,"16.450,00","15.790,00",16450.0,15790.0
SGD,Ngoại tệ > SGD,SGD,"18.200,00","17.440,00",18200.0,17440.0
GBP,Ngoại tệ > GBP,GBP,"30.700,00","28.300,00",30700.0,28300.0
CAD,Ngoại tệ > CAD,CAD,"18.150,00","17.270,00",18150.0,17270.0
HKD,Ngoại tệ > HKD,HKD,"2.900,00","2.900,00",2900.0,2900.0
CHF,Ngoại tệ > CHF,CHF,"28.400,00","25.300,00",28400.0,25300.0
