row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,140.853.892,118.512.689,-,-,97.173,-,423.747,480.418,141.374.812,118.993.107,140853892.0,118512689.0,,,97173.0,,423747.0,480418.0,141374812.0,118993107.0
1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,24.116,52.584,-,-,-,-,-,-,24.116,52.584,24116.0,52584.0,,,,,,,24116.0,52584.0
2. Tiền gửi và vay các tổ chức tín dụng khác,2. Tiền gửi và vay các tổ chức tín dụng khác,2. Tiền gửi và vay các tổ chức tín dụng khác,11.158.753,11.090.139,-,-,-,-,-,-,11.158.753,11.090.139,11158753.0,11090139.0,,,,,,,11158753.0,11090139.0
3. Tiền gửi của khách hàng,3. Tiền gửi của khách hàng,3. Tiền gửi của khách hàng,118.476.923,96.904.601,-,-,-,-,-,-,118.476.923,96.904.601,118476923.0,96904601.0,,,,,,,118476923.0,96904601.0
4. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,4. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,4. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,-,-,97.173,-,-,-,97.173,-,,,,,97173.0,,,,97173.0,
"5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",9.807,3.120,-,-,-,-,-,-,9.807,3.120,9807.0,3120.0,,,,,,,9807.0,3120.0
6. Phát hành giấy tờ có giá,6. Phát hành giấy tờ có giá,6. Phát hành giấy tờ có giá,7.062.350,7.837.881,-,-,-,-,-,-,7.062.350,7.837.881,7062350.0,7837881.0,,,,,,,7062350.0,7837881.0
7. Các khoản nợ khác,7. Các khoản nợ khác,7. Các khoản nợ khác,4.121.943,2.624.364,-,-,-,-,423.747,480.418,4.545.690,3.104.782,4121943.0,2624364.0,,,,,423747.0,480418.0,4545690.0,3104782.0
