row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2023 > Triệu VND,31/12/2022 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2023 > Triệu VND,numeric__31/12/2022 > Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5,616.570,711.783,,5.0,616570.0,711783.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,6,887.264,786.421,,6.0,887264.0,786421.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,15.362.500,11.894.805,,7.0,15362500.0,11894805.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,13.602.238,11.037.227,,,13602238.0,11037227.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,1.760.262,857.578,,,1760262.0,857578.0
IV,A > IV,IV,Chứng khoán kinh doanh,8,20.992.851,4.768.290,,8.0,20992851.0,4768290.0
1,A > 1,1,Chứng khoán kinh doanh,,20.992.851,4.768.290,,,20992851.0,4768290.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,103.023,,9.0,,103023.0
VI,A > VI,VI,Cho vay khách hàng,,98.654.289,93.073.482,,,98654289.0,93073482.0
1,A > 1,1,Cho vay khách hàng,10,99.853.975,94.120.600,,10.0,99853975.0,94120600.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(1.199.686),(1.047.118),,11.0,-1199686.0,-1047118.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,12,10.548.824,12.948.408,,12.0,10548824.0,12948408.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,10.570.319,12.976.384,,,10570319.0,12976384.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(21.495),(27.976),,,-21495.0,-27976.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,142.530,142.878,,13.0,142530.0,142878.0
4,A > 4,4,Đầu tư dài hạn khác,,162.845,162.845,,,162845.0,162845.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(20.315),(19.967),,,-20315.0,-19967.0
X,A > X,X,Tài sản cố định,,1.052.987,761.286,,,1052987.0,761286.0
1.,A > 1.,1.,Tài sản cố định hữu hình,14,176.559,177.211,,14.0,176559.0,177211.0
a,A > a,a,Nguyên giá TSCĐ,,505.197,472.778,,,505197.0,472778.0
b,A > b,b,Hao mòn TSCĐ,,(328.638),(295.567),,,-328638.0,-295567.0
3.,A > 3.,3.,Tài sản cố định vô hình,15,876.428,584.075,,15.0,876428.0,584075.0
a,A > a,a,Nguyên giá TSCĐ,,987.113,682.213,,,987113.0,682213.0
b,A > b,b,Hao mòn TSCĐ,,(110.685),(98.138),,,-110685.0,-98138.0
XI,A > XI,XI,Bất động sản đầu tư,16,3.683,3.683,,16.0,3683.0,3683.0
a,A > a,a,Nguyên giá BĐSĐT,,3.683,3.683,,,3683.0,3683.0
XII,A > XII,XII,Tài sản Có khác,17,3.981.573,3.599.479,,17.0,3981573.0,3599479.0
1,A > 1,1,Các khoản phải thu,,292.705,663.435,,,292705.0,663435.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.625.739,2.886.583,,,3625739.0,2886583.0
3,A > 3,3,Tài sản thuế TNDN hoãn lại,,-,82,,,,82.0
4,A > 4,4,Tài sản Có khác,,63.129,49.379,,,63129.0,49379.0
,,,TỔNG TÀI SẢN CÓ,,152.243.071,128.793.538,,,152243071.0,128793538.0
