row_label_raw,row_label_full,Tòa nhà Miền Nam,31/12/2016VND > 133.600.517.254,1/1/2016VND > 133.960.919.137,numeric__31/12/2016VND > 133.600.517.254,numeric__1/1/2016VND > 133.960.919.137
Khu biết thư Sư Vạn Hạnh,Khu biết thư Sư Vạn Hạnh,Khu biết thư Sư Vạn Hạnh,-,99.291.743.868,,99291743868.0
Tầng thương mại tại các khu chung cư,Tầng thương mại tại các khu chung cư,Tầng thương mại tại các khu chung cư,64.416.312.772,22.890.633.623,64416312772.0,22890633623.0
Sân tennis,Sân tennis,Sân tennis,3.135.792.727,3.135.792.727,3135792727.0,3135792727.0
,,,201.152.622.753,259.279.089.355,201152622753.0,259279089355.0
