row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,Số dư tại ngày 1/1/2015,651.542.050.000,-,(6.210.000),23.516.835.886,129.037.848.918,804.090.524.804,651542050000.0,,-6210000.0,23516835886.0,129037848918.0,804090524804.0
Tăng vốn (Thuyết minh 22),Tăng vốn (Thuyết minh 22),Tăng vốn (Thuyết minh 22),32.576.790.000,-,-,-,(32.576.790.000),-,32576790000.0,,,,-32576790000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,69.982.507.676,69.982.507.676,,,,,69982507676.0,69982507676.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,(2.350.000),-,-,(2.350.000),,,-2350000.0,,,-2350000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(4.020.000.000),(4.020.000.000),,,,,-4020000000.0,-4020000000.0
Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,Số dư tại ngày 1/1/2016,684.118.840.000,-,(8.560.000),23.516.835.886,162.423.566.594,870.050.682.480,684118840000.0,,-8560000.0,23516835886.0,162423566594.0,870050682480.0
Phát hành cổ phiếu thưởng (Thuyết minh 22),Phát hành cổ phiếu thưởng (Thuyết minh 22),Phát hành cổ phiếu thưởng (Thuyết minh 22),69.046.560.000,-,-,-,(69.046.560.000),-,69046560000.0,,,,-69046560000.0,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,6.515.400.000,(33.000.000),-,-,-,6.482.400.000,6515400000.0,-33000000.0,,,,6482400000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,27.209.375.937,27.209.375.937,,,,,27209375937.0,27209375937.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(303.220.000),-,-,(303.220.000),,,-303220000.0,,,-303220000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(2.099.000.000),(2.099.000.000),,,,,-2099000000.0,-2099000000.0
Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),Cổ tức (Thuyết minh 23),-,-,-,-,(34.504.687.750),(34.504.687.750),,,,,-34504687750.0,-34504687750.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,759.680.800.000,(33.000.000),(311.780.000),23.516.835.886,83.982.694.781,866.835.550.667,759680800000.0,-33000000.0,-311780000.0,23516835886.0,83982694781.0,866835550667.0
