row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2016 VND,2015 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,26,345.415.530.732,511.482.046.571,1.0,26.0,345415530732.0,511482046571.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,26,153.622.289,2.085.957.843,2.0,26.0,153622289.0,2085957843.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,,345.261.908.443,509.396.088.728,10.0,,345261908443.0,509396088728.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,27,234.938.589.709,398.395.014.207,11.0,27.0,234938589709.0,398395014207.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,110.323.318.734,111.001.074.521,20.0,,110323318734.0,111001074521.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,28,43.809.113.575,37.639.235.620,21.0,28.0,43809113575.0,37639235620.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,29,74.036.219.277,11.609.122.350,22.0,29.0,74036219277.0,11609122350.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,72.701.396.452,10.786.932.695,23.0,,72701396452.0,10786932695.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,11.970.930.759,2.220.066.864,25.0,,11970930759.0,2220066864.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,30,36.166.177.237,34.239.315.776,26.0,30.0,36166177237.0,34239315776.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,31.959.105.036,100.571.805.151,30.0,,31959105036.0,100571805151.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,70.644.281,1.390.436.573,31.0,,70644281.0,1390436573.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,2.793.624.816,27.294.060,32.0,,2793624816.0,27294060.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,(2.722.980.535),1.363.142.513,40.0,,-2722980535.0,1363142513.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,29.236.124.501,101.934.947.664,50.0,,29236124501.0,101934947664.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,32,2.026.748.564,31.952.439.988,51.0,32.0,2026748564.0,31952439988.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),Lợi nhuận sau thuế TNDN (60 = 50 - 51),60,,27.209.375.937,69.982.507.676,60.0,,27209375937.0,69982507676.0
