row_label_raw,row_label_full,col_0,1/1/2016Giá trị ghi sổ và sốcó khả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,31/12/2016Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__1/1/2016Giá trị ghi sổ và sốcó khả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__31/12/2016Giá trị ghi sổ và sốcó khả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,110.444.000.000,678.462.633.317,(505.623.468.450),283.283.164.867,110444000000.0,678462633317.0,-505623468450.0,283283164867.0
Vay dài hạn đến hạn trả (Thuyết minh 20(b)),Vay dài hạn đến hạn trả (Thuyết minh 20(b)),Vay dài hạn đến hạn trả (Thuyết minh 20(b)),-,6.190.000.000,-,6.190.000.000,,6190000000.0,,6190000000.0
,,,110.444.000.000,684.652.633.317,(505.623.468.450),289.473.164.867,110444000000.0,684652633317.0,-505623468450.0,289473164867.0
