row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(358.247),(709.094),,,-358247.0,-709094.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,24.616,25.174,,,24616.0,25174.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,34.000,5.610,,,34000.0,5610.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,158.984,124.646,,,158984.0,124646.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(140.647),(553.664),,,-140647.0,-553664.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
02,02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,2.167.000,-,,,2167000.0,
03,03,03,Tiền chỉ thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,(3.000.000),-,,,-3000000.0,
04,04,04,Lợi nhuận đã chia,"20.1(ii, iii)",(100.000),(130.000),,,-100000.0,-130000.0
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(933.000),(130.000),,,-933000.0,-130000.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,10.729.613,4.079.353,,,10729613.0,4079353.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,18.611.073,14.531.720,,,18611073.0,14531720.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,33,29.340.686,18.611.073,,33.0,29340686.0,18611073.0
