row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,21,23.766.644,20.076.241,,21.0,23766644.0,20076241.0
2,2,2,Chi phí lãi và các chi phí tương tự,22,(13.606.390),(11.827.834),,22.0,-13606390.0,-11827834.0
I,I,I,Thu nhập lãi thuần,,10.160.254,8.248.407,,,10160254.0,8248407.0
3,3,3,Thu nhập từ hoạt động dịch vụ,23,1.878.562,1.413.351,,23.0,1878562.0,1413351.0
4,4,4,Chi phí hoạt động dịch vụ,24,(538.857),(333.409),,24.0,-538857.0,-333409.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,,1.339.705,1.079.942,,,1339705.0,1079942.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,25,240.341,236.410,,25.0,240341.0,236410.0
IV,IV,IV,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,26,(30.587),40.333,,26.0,-30587.0,40333.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,168.525,564.093,,27.0,168525.0,564093.0
5,5,5,Thu nhập từ hoạt động khác,,1.917.759,947.062,,,1917759.0,947062.0
6,6,6,Chi phí hoạt động khác,,(104.829),(60.415),,,-104829.0,-60415.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,1.812.930,886.647,,28.0,1812930.0,886647.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,103.921,97.004,,29.0,103921.0,97004.0
VIII,VIII,VIII,Chi phí hoạt động,30,(6.541.128),(6.080.503),,30.0,-6541128.0,-6080503.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,7.253.961,5.072.333,,,7253961.0,5072333.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(901.003),(2.466.286),,31.0,-901003.0,-2466286.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,6.352.958,2.606.047,,,6352958.0,2606047.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,,(1.272.965),(516.996),,,-1272965.0,-516996.0
8,8,8,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,44.323,-,,,44323.0,
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,32,(1.228.642),(516.996),,32.0,-1228642.0,-516996.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,5.124.316,2.089.051,,,5124316.0,2089051.0
