row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2017,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2017,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2017,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2017,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2017,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2017,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2017,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2017,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2017,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2017,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2017,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2017,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2017,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2017,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2017,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2017,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2017
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt vàng bạc, đã quý","Tài sản > Tiền mặt vàng bạc, đã quý","Tiền mặt vàng bạc, đã quý",-,-,4.851.704,-,-,-,-,4.851.704,,,4851704.0,,,,,4851704.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.314.574,-,-,-,-,8.314.574,,,8314574.0,,,,,8314574.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),400.000,-,5.354.149,2.758.023,539.642,336.803,61.000,9.449.617,400000.0,,5354149.0,2758023.0,539642.0,336803.0,61000.0,9449617.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,1.036.829,-,-,-,-,1.036.829,,,1036829.0,,,,,1036829.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),1.255.266,561.451,11.238.400,24.195.295,61.794.531,25.076.520,71.384.980,195.506.443,1255266.0,561451.0,11238400.0,24195295.0,61794531.0,25076520.0,71384980.0,195506443.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,985.587,1.495.375,1.072.858,34.839.498,14.725.282,53.118.600,,,985587.0,1495375.0,1072858.0,34839498.0,14725282.0,53118600.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,2.335.127,2.335.127,,,,,,,2335127.0,2335127.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,2.937.115,2.937.115,,,,,,,2937115.0,2937115.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),657.803,-,6.910.736,342.948,248.399,519.980,971.858,9.651.724,657803.0,,6910736.0,342948.0,248399.0,519980.0,971858.0,9651724.0
