row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2018Triệu VND,Tại ngày > 31.12.2017Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2018Triệu VND,numeric__Tại ngày > 31.12.2017Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,6.129.164,4.851.704,,4.0,6129164.0,4851704.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,10.683.536,8.314.574,,5.0,10683536.0,8314574.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,19.118.648,9.295.856,,6.0,19118648.0,9295856.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,6.1,12.927.986,5.867.220,,61.0,12927986.0,5867220.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,6.1,6.331.054,3.582.397,,61.0,6331054.0,3582397.0
3,A > 3,3,Dự phòng rủi ro,6.3,(140.392),(153.761),,63.0,-140392.0,-153761.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,899.577,1.035.761,,7.0,899577.0,1035761.0
1,A > 1,1,Chứng khoán kinh doanh,,899.577,1.036.829,,,899577.0,1036829.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,-,(1.068),,,,-1068.0
VI,A > VI,VI,Cho vay khách hàng,,225.338.911,193.762.433,,,225338911.0,193762433.0
1,A > 1,1,Cho vay khách hàng,8,227.759.122,195.506.443,,8.0,227759122.0,195506443.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,8.7,(2.420.211),(1.744.010),,87.0,-2420211.0,-1744010.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,9,53.359.019,52.689.288,,9.0,53359019.0,52689288.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,9.1,8.201.643,8.007.491,,91.0,8201643.0,8007491.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,9.1,45.594.643,45.111.109,,91.0,45594643.0,45111109.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,9.3,(437.267),(429.312),,93.0,-437267.0,-429312.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,2.295.777,2.329.574,,10.0,2295777.0,2329574.0
1,A > 1,1,Đầu tư vào công ty con,10.2,2.140.000,2.140.000,,102.0,2140000.0,2140000.0
2,A > 2,2,Vốn góp liên doanh,10.3,1.000,1.000,,103.0,1000.0,1000.0
3,A > 3,3,Đầu tư vào công ty liên kết,10.3,200,200,,103.0,200.0,200.0
4,A > 4,4,Đầu tư dài hạn khác,10.4,159.927,193.927,,104.0,159927.0,193927.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,10.5,(5.350),(5.553),,105.0,-5350.0,-5553.0
X,A > X,X,Tài sản cố định,11,3.162.339,2.937.115,,11.0,3162339.0,2937115.0
1,A > 1,1,Tài sản cố định hữu hình,11(a),2.595.668,2.425.869,,,2595668.0,2425869.0
a,A > a,a,Nguyên giá tài sản cố định,,4.308.947,3.945.636,,,4308947.0,3945636.0
b,A > b,b,Hao mòn tài sản cố định,,(1.713.279),(1.519.767),,,-1713279.0,-1519767.0
3,A > 3,3,Tài sản cố định vô hình,11(b),566.671,511.246,,,566671.0,511246.0
a,A > a,a,Nguyên giá tài sản cố định,,848.686,756.242,,,848686.0,756242.0
b,A > b,b,Hao mòn tài sản cố định,,(282.015),(244.996),,,-282015.0,-244996.0
XII,A > XII,XII,Tài sản Có khác,12,7.574.063,8.180.877,,12.0,7574063.0,8180877.0
1,A > 1,1,Các khoản phải thu,12.1,4.440.453,5.407.176,,121.0,4440453.0,5407176.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.453.102,3.564.121,,,3453102.0,3564121.0
3,A > 3,3,Tài sản thuế TNDN hoãn lại,12.4,44.323,-,,124.0,44323.0,
4,A > 4,4,Tài sản Có khác,12.2,959.878,680.427,,122.0,959878.0,680427.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,12.3,(1.323.693),(1.470.847),,123.0,-1323693.0,-1470847.0
,,,TỔNG TÀI SẢN,,328.561.034,283.397.182,,,328561034.0,283397182.0
