row_label_raw,row_label_full,Quá hạn,Không chịu lãi suất,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Không chịu lãi suất,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
-,-,-,4.851.704,-,-,-,-,-,-,4.851.704,4851704.0,,,,,,,4851704.0
-,-,-,8.314.574,-,-,-,-,-,-,8.314.574,8314574.0,,,,,,,8314574.0
400.000,400.000,400.000,-,2.719.795,4.856.854,1.411.968,-,-,61.000,9.449.617,,2719795.0,4856854.0,1411968.0,,,61000.0,9449617.0
-,-,-,-,-,-,-,-,491.727,545.102,1.036.829,,,,,,491727.0,545102.0,1036829.0
1.816.717,1.816.717,1.816.717,-,1.855.803,175.336.587,11.501.154,4.343.620,551.669,100.893,195.506.443,,1855803.0,175336587.0,11501154.0,4343620.0,551669.0,100893.0,195506443.0
-,-,-,745.508,-,-,-,-,33.458.936,18.914.156,53.118.600,745508.0,,,,,33458936.0,18914156.0,53118600.0
-,-,-,2.335.127,-,-,-,-,-,-,2.335.127,2335127.0,,,,,,,2335127.0
-,-,-,2.937.115,-,-,-,-,-,-,2.937.115,2937115.0,,,,,,,2937115.0
657.803,657.803,657.803,6.919.486,-,-,-,2.074.435,-,-,9.651.724,6919486.0,,,,2074435.0,,,9651724.0
2.874.520,2.874.520,2.874.520,26.103.514,4.575.598,180.193.441,12.913.122,6.418.055,34.502.332,19.621.151,287.201.733,26103514.0,4575598.0,180193441.0,12913122.0,6418055.0,34502332.0,19621151.0,287201733.0
-,-,-,-,6.222.994,8.484.322,560.625,112.125,-,-,15.380.066,,6222994.0,8484322.0,560625.0,112125.0,,,15380066.0
-,-,-,-,48.405.967,93.965.276,39.964.127,15.862.116,43.420.022,-,241.617.508,,48405967.0,93965276.0,39964127.0,15862116.0,43420022.0,,241617508.0
-,-,-,10.491,-,-,-,-,-,-,10.491,10491.0,,,,,,,10491.0
-,-,-,-,-,106.621,-,-,-,29.845,136.466,,,106621.0,,,,29845.0,136466.0
-,-,-,-,-,-,-,3.054.000,-,3.000.000,6.054.000,,,,,3054000.0,,3000000.0,6054000.0
-,-,-,4.498.909,-,-,-,-,-,-,4.498.909,4498909.0,,,,,,,4498909.0
-,-,-,4.509.400,54.628.961,102.556.219,40.524.752,19.028.241,43.420.022,3.029.845,267.697.440,4509400.0,54628961.0,102556219.0,40524752.0,19028241.0,43420022.0,3029845.0,267697440.0
2.874.520,2.874.520,2.874.520,21.594.114(10.316.910),(50.053.363),77.637.222,(27.611.630),(12.610.186),(8.917.690),16.591.306,19.504.293(10.316.910),,-50053363.0,77637222.0,-27611630.0,-12610186.0,-8917690.0,16591306.0,
2.874.520,2.874.520,2.874.520,11.277.204,(50.053.363),77.637.222,(27.611.630),(12.610.186),(8.917.690),16.591.306,9.187.383,11277204.0,-50053363.0,77637222.0,-27611630.0,-12610186.0,-8917690.0,16591306.0,9187383.0
