row_label_raw,row_label_full,col_0,Bảng tiền đồngTriệu VND,Bằng ngoại tệTriệu VND,Tổng cộngTriệu VND,numeric__Bảng tiền đồngTriệu VND,numeric__Bằng ngoại tệTriệu VND,numeric__Tổng cộngTriệu VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,47.071,-,47.071,47071.0,,47071.0
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,13.059.662,24.897.882,37.957.544,13059662.0,24897882.0,37957544.0
Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,Cam kết trong nghiệp vụ L/C trả ngay,116.729,2.712.779,2.829.508,116729.0,2712779.0,2829508.0
Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,Cam kết trong nghiệp vụ L/C trả chậm,5.902,1.284.064,1.289.966,5902.0,1284064.0,1289966.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,1.836.516,65.617,1.902.133,1836516.0,65617.0,1902133.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,1.697.806,17.240,1.715.046,1697806.0,17240.0,1715046.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,304.891,-,304.891,304891.0,,304891.0
Các bảo lãnh khác,Các bảo lãnh khác,Các bảo lãnh khác,2.098.599,129.696,2.228.295,2098599.0,129696.0,2228295.0
,,,19.167.176,29.107.278,48.274.454,19167176.0,29107278.0,48274454.0
