row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,2.195.681,1.258.796,314.934,176.225,3.945.636,2195681.0,1258796.0,314934.0,176225.0,3945636.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,25.965,196.059,42.214,3.757,267.995,25965.0,196059.0,42214.0,3757.0,267995.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,160.950,-,-,-,160.950,160950.0,,,,160950.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.000),(40.765),(7.283),(13.106),(66.154),-5000.0,-40765.0,-7283.0,-13106.0,-66154.0
Chuyển từ tài sản Có khác,Nguyên giá > Chuyển từ tài sản Có khác,Chuyển từ tài sản Có khác,520,-,-,-,520,520.0,,,,520.0
Biển động khác,Nguyên giá > Biển động khác,Biển động khác,-,5.423,(4.164),(1.259),-,,5423.0,-4164.0,-1259.0,
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,2.378.116,1.419.513,345.701,165.617,4.308.947,2378116.0,1419513.0,345701.0,165617.0,4308947.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,348.712,832.997,194.164,143.894,1.519.767,348712.0,832997.0,194164.0,143894.0,1519767.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,58.779,152.261,29.891,13.742,254.673,58779.0,152261.0,29891.0,13742.0,254673.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(414),(40.528),(7.129),(13.090),(61.161),-414.0,-40528.0,-7129.0,-13090.0,-61161.0
Biển động khác,Khấu hao lũy kế > Biển động khác,Biển động khác,-,133,-,(133),-,,133.0,,-133.0,
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,407.077,944.863,216.926,144.413,1.713.279,407077.0,944863.0,216926.0,144413.0,1713279.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,1.846.969,425.799,120.770,32.331,2.425.869,1846969.0,425799.0,120770.0,32331.0,2425869.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,1.971.039,474.650,128.775,21.204,2.595.668,1971039.0,474650.0,128775.0,21204.0,2595668.0
