row_label_raw,row_label_full,col_0,Năm 2018 > Miền Bắc Triệu VND,Năm 2018 > Miền Trung Triệu VND,Năm 2018 > Miền Nam Triệu VND,Năm 2018 > Loại trừ Triệu VND,Năm 2018 > Tổng Triệu VND,numeric__Năm 2018 > Miền Bắc Triệu VND,numeric__Năm 2018 > Miền Trung Triệu VND,numeric__Năm 2018 > Miền Nam Triệu VND,numeric__Năm 2018 > Loại trừ Triệu VND,numeric__Năm 2018 > Tổng Triệu VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
1. Doanh thu lãi,Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,7.517.753,3.299.246,46.629.495,(33.679.850),23.766.644,7517753.0,3299246.0,46629495.0,-33679850.0,23766644.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,3.924.860,2.485.896,17.355.888,-,23.766.644,3924860.0,2485896.0,17355888.0,,23766644.0
Doanh thu lãi từ nội bộ,Doanh thu > Doanh thu lãi từ nội bộ,Doanh thu lãi từ nội bộ,3.592.893,813.350,29.273.607,(33.679.850),-,3592893.0,813350.0,29273607.0,-33679850.0,
2. Doanh thu từ hoạt động dịch vụ,Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,187.859,84.686,1.606.117,-,1.878.562,187859.0,84686.0,1606117.0,,1878562.0
3. Doanh thu từ hoạt động kinh doanh khác,Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,217.851,18.694,2.194.001,-,2.430.546,217851.0,18694.0,2194001.0,,2430546.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(5.744.423),(2.465.467),(39.076.350),33.679.850,(13.606.390),-5744423.0,-2465467.0,-39076350.0,33679850.0,-13606390.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(2.657.748),(593.278),(10.355.364),-,(13.606.390),-2657748.0,-593278.0,-10355364.0,,-13606390.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(3.086.675),(1.872.189),(28.720.986),33.679.850,-,-3086675.0,-1872189.0,-28720986.0,33679850.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(16.939),(9.829),(264.924),-,(291.692),-16939.0,-9829.0,-264924.0,,-291692.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(979.204),(504.155),(5.440.350),-,(6.923.709),-979204.0,-504155.0,-5440350.0,,-6923709.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.182.897,423.075,5.647.989,-,7.253.961,1182897.0,423075.0,5647989.0,,7253961.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(96.495),(86.603),(717.905),-,(901.003),-96495.0,-86603.0,-717905.0,,-901003.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.086.402,336.472,4.930.084,-,6.352.958,1086402.0,336472.0,4930084.0,,6352958.0
