row_label_raw,row_label_full,col_0,Triệu VND,numeric__Triệu VND
Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,459.862,459862.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,437.099,437099.0
Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(148.321),-148321.0
Chuyển sang TSCĐ vô hình,Chuyển sang TSCĐ vô hình,Chuyển sang TSCĐ vô hình,(49.671),-49671.0
Chuyển sang tài sản khác,Chuyển sang tài sản khác,Chuyển sang tài sản khác,(2.066),-2066.0
Thanh lý,Thanh lý,Thanh lý,(28.938),-28938.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,667.965,667965.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,68.778,68778.0
Chuyển sang TSCĐ hữu hình (Thuyết minh 11(a)),Chuyển sang TSCĐ hữu hình (Thuyết minh 11(a)),Chuyển sang TSCĐ hữu hình (Thuyết minh 11(a)),(160.950),-160950.0
Chuyển sang TSCĐ vô hình (Thuyết minh 11(b)),Chuyển sang TSCĐ vô hình (Thuyết minh 11(b)),Chuyển sang TSCĐ vô hình (Thuyết minh 11(b)),(47.093),-47093.0
Chuyển sang tài sản khác,Chuyển sang tài sản khác,Chuyển sang tài sản khác,(262),-262.0
Thanh lý,Thanh lý,Thanh lý,(29.095),-29095.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,499.343,499343.0
