row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2018 Triệu VND,Tại ngày > 31.12.2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2018 Triệu VND,numeric__Tại ngày > 31.12.2017 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,13,3.074.100,-,,13.0,3074100.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,14,20.752.147,15.380.066,,14.0,20752147.0,15380066.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,17.207.569,12.156.574,,,17207569.0,12156574.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.544.578,3.223.492,,,3544578.0,3223492.0
III,B > III,III,Tiền gửi của khách hàng,15,270.472.983,241.617.508,,15.0,270472983.0,241617508.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,16,38.198,10.491,,16.0,38198.0,10491.0
V,B > V,V,"Vốn tài trợ, uỷ thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,160.093,136.466,,17.0,160093.0,136466.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,7.416.918,6.054.000,,18.0,7416918.0,6054000.0
VII,B > VII,VII,Các khoản nợ khác,,5.972.537,4.498.909,,,5972537.0,4498909.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,3.389.358,2.809.752,,,3389358.0,2809752.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,2.583.179,1.689.157,,19.0,2583179.0,1689157.0
,,,TỔNG NỘ PHẢI TRẢ,,307.886.976,267.697.440,,,307886976.0,267697440.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,,20.674.058,15.699.742,,,20674058.0,15699742.0
1,B > 1,1,Vốn của tổ chức tín dụng,20,12.220.152,9.607.514,,20.0,12220152.0,9607514.0
a,B > a,a,Vốn điều lệ,,12.885.877,10.273.239,,,12885877.0,10273239.0
d,B > d,d,Cổ phiếu quỹ,,(665.725),(665.725),,,-665725.0,-665725.0
2,B > 2,2,Quỹ của tổ chức tín dụng,20.1,3.369.394,2.600.746,,201.0,3369394.0,2600746.0
5,B > 5,5,Lợi nhuận chưa phân phối,20.1,5.084.512,3.491.482,,201.0,5084512.0,3491482.0
a,B > a,a,Lợi nhuận năm nay,,4.355.668,1.775.693,,,4355668.0,1775693.0
b,B > b,b,Lợi nhuận lũy kể năm trước,,728.844,1.715.789,,,728844.0,1715789.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,20.674.058,15.699.742,,,20674058.0,15699742.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,328.561.034,283.397.182,,,328561034.0,283397182.0
