row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ tài chính ngân hàng,Dịch vụ tài chính phi ngân hàng,Khác,Đơn vị: triệu đồng > Điều chỉnh,Đơn vị: triệu đồng > Tổng cộng,numeric__Dịch vụ tài chính ngân hàng,numeric__Dịch vụ tài chính phi ngân hàng,numeric__Khác,numeric__Đơn vị: triệu đồng > Điều chỉnh,numeric__Đơn vị: triệu đồng > Tổng cộng
I. Doanh thu,I. Doanh thu,I. Doanh thu,83.504.670,2.336.075,865.759,(515.049),86.191.455,83504670.0,2336075.0,865759.0,-515049.0,86191455.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,73.753.305,422.903,136.696,(136.784),74.176.120,73753305.0,422903.0,136696.0,-136784.0,74176120.0
- Doanh thu lãi từ khách hàng bên ngoài,- Doanh thu lãi từ khách hàng bên ngoài,- Doanh thu lãi từ khách hàng bên ngoài,73.747.488,401.559,131.600,(104.527),74.176.120,73747488.0,401559.0,131600.0,-104527.0,74176120.0
- Doanh thu lãi từ nội bộ,- Doanh thu lãi từ nội bộ,- Doanh thu lãi từ nội bộ,5.817,21.344,5.096,(32.257),-,5817.0,21344.0,5096.0,-32257.0,
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,4.284.323,1.820.344,17.408,(167.654),5.954.421,4284323.0,1820344.0,17408.0,-167654.0,5954421.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,5.467.042,92.828,711.655,(210.611),6.060.914,5467042.0,92828.0,711655.0,-210611.0,6060914.0
II. Chi phí,II. Chi phí,II. Chi phí,(69.200.380),(2.007.295),(821.015),318.910,(71.709.780),-69200380.0,-2007295.0,-821015.0,318910.0,-71709780.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(51.675.510),(63.317),(55.991),136.784,(51.658.034),-51675510.0,-63317.0,-55991.0,136784.0,-51658034.0
- Chi phí lãi từ khách hàng bên ngoài,- Chi phí lãi từ khách hàng bên ngoài,- Chi phí lãi từ khách hàng bên ngoài,(51.625.639),(8.584),(55.987),32.176,(51.658.034),-51625639.0,-8584.0,-55987.0,32176.0,-51658034.0
- Chi phí lãi từ nội bộ,- Chi phí lãi từ nội bộ,- Chi phí lãi từ nội bộ,(49.871),(54.733),(4),104.608,-,-49871.0,-54733.0,-4.0,104608.0,
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.027.429),(8.411),(9.864),-,(1.045.704),-1027429.0,-8411.0,-9864.0,,-1045704.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(16.497.441),(1.935.567),(755.160),182.126,(19.006.042),-16497441.0,-1935567.0,-755160.0,182126.0,-19006042.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,14.304.290,328.780,44.744,(196.139),14.481.675,14304290.0,328780.0,44744.0,-196139.0,14481675.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(7.746.060),(9.595),(606),4.988,(7.751.273),-7746060.0,-9595.0,-606.0,4988.0,-7751273.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,6.558.230,319.185,44.138,(191.151),6.730.402,6558230.0,319185.0,44138.0,-191151.0,6730402.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.216.543),(63.107),(25.514),-,(1.305.164),-1216543.0,-63107.0,-25514.0,,-1305164.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,-,(682),(8.127),-,(8.809),,-682.0,-8127.0,,-8809.0
Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,5.341.687,255.396,10.497,(191.151),5.416.429,5341687.0,255396.0,10497.0,-191151.0,5416429.0
III. Tài sản,III. Tài sản,III. Tài sản,1.163.440.860,6.163.644,3.033.316,(8.203.085),1.164.434.735,1163440860.0,6163644.0,3033316.0,-8203085.0,1164434735.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,6.989.280,3.670,35.397,-,7.028.347,6989280.0,3670.0,35397.0,,7028347.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,10.959.292,78.521,76.724,-,11.114.537,10959292.0,78521.0,76724.0,,11114537.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,1.145.492.288,6.081.453,2.921.195,(8.203.085),1.146.291.851,1145492288.0,6081453.0,2921195.0,-8203085.0,1146291851.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,1.096.927.542,3.207.703,1.551.667,(4.707.694),1.096.979.218,1096927542.0,3207703.0,1551667.0,-4707694.0,1096979218.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1.093.714.169,2.229.711,1.520.718,(4.699.816),1.092.764.782,1093714169.0,2229711.0,1520718.0,-4699816.0,1092764782.0
2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,3.213.373,977.992,30.949,(7.878),4.214.436,3213373.0,977992.0,30949.0,-7878.0,4214436.0
