row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.495.619,1.824.424,6.320.043,4495619.0,1824424.0,6320043.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,733,44.642,45.375,733.0,44642.0,45375.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,2.000,78.321,80.321,2000.0,78321.0,80321.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.884),(59),(3.943),-3884.0,-59.0,-3943.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(12.745),(4.682),(17.427),-12745.0,-4682.0,-17427.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.481.723,1.942.646,6.424.369,4481723.0,1942646.0,6424369.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,258.254,1.011.998,1.270.252,258254.0,1011998.0,1270252.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,37.901,196.182,234.083,37901.0,196182.0,234083.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,118,3.959,4.077,118.0,3959.0,4077.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(59),(59),,-59.0,-59.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(1.841),(3.368),(5.209),-1841.0,-3368.0,-5209.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,294.432,1.208.712,1.503.144,294432.0,1208712.0,1503144.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,4.237.365,812.426,5.049.791,4237365.0,812426.0,5049791.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,4.187.291,733.934,4.921.225,4187291.0,733934.0,4921225.0
