row_label_raw,row_label_full,Bên liên quan > Ngân hàng Nhà nước Việt Nam,Quan hệ > Chủ sở hữu và Cơ quan quản lý trực tiếp,Các giao dịch > Tiền gửi của Ngân hàng tại NHNN > Tiền vay NHNN,2018 triệu đồng > 23.182.208 > 3.394.517,2017 triệu đồng > 20.756.531 > 4.107.281,numeric__Quan hệ > Chủ sở hữu và Cơ quan quản lý trực tiếp,numeric__Các giao dịch > Tiền gửi của Ngân hàng tại NHNN > Tiền vay NHNN,numeric__2018 triệu đồng > 23.182.208 > 3.394.517,numeric__2017 triệu đồng > 20.756.531 > 4.107.281
Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Công ty liên doanh,Tiền gửi của Indovina tại Ngân hàng,4.040.635,4.011.620,,,4040635.0,4011620.0
Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Công ty liên doanh,Tiền gửi của Ngân hàng tại Indovina,4.011.795,4.007.785,,,4011795.0,4007785.0
