row_label_raw,row_label_full,Vốn góp liên doanh (Thuyết minh 13.1),Ngày 31 tháng 12năm 2018triệu đồng > 2.906.452,Ngày 31 tháng 12năm 2017triệu đồng > 2.704.255,numeric__Ngày 31 tháng 12năm 2018triệu đồng > 2.906.452,numeric__Ngày 31 tháng 12năm 2017triệu đồng > 2.704.255
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,412.645,412.645,412645.0,412645.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(1.692),(2.799),-1692.0,-2799.0
,,,3.317.405,3.114.101,3317405.0,3114101.0
