row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Vốn chủ sở hữu khác triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ đầu tư phát triển triệu đồng,Chênh lệch tỷ giá hối đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Vốn chủ sở hữu khác triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ đầu tư phát triển triệu đồng,numeric__Chênh lệch tỷ giá hối đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,37.234.046,8.974.721,-,2.190.856,4.127.738,48.304,480.011,6.990.755,260.333,60.306.764,37234046.0,8974721.0,,2190856.0,4127738.0,48304.0,480011.0,6990755.0,260333.0,60306764.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,7.432.363,26.539,7.458.902,,,,,,,,7432363.0,26539.0,7458902.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,351.990,695.891,7.531,-,(1.055.413),(2.124),(2.125),,,,351990.0,695891.0,7531.0,,-1055413.0,-2124.0,-2125.0
Tăng khác trong năm,Tăng khác trong năm,Tăng khác trong năm,-,-,-,-,-,-,-,-,10.874,10.874,,,,,,,,,10874.0,10874.0
"Trích quỹ khen thưởng, phúc lợi năm 2016","Trích quỹ khen thưởng, phúc lợi năm 2016","Trích quỹ khen thưởng, phúc lợi năm 2016",-,-,-,-,-,-,-,(1.412.266),-,(1.412.266),,,,,,,,-1412266.0,,-1412266.0
Trả cổ tức năm 2016,Trả cổ tức năm 2016,Trả cổ tức năm 2016,-,-,-,-,-,-,-,(2.606.383),-,(2.606.383),,,,,,,,-2606383.0,,-2606383.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(623),-,-,-,-,(623),,,,,-623.0,,,,,-623.0
Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,-,-,-,54.652,-,-,-,(54.652),-,-,,,,54652.0,,,,-54652.0,,
Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,-,70.590,-,-,70.590,,,,,,,70590.0,,,70590.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(11),-,-,-,-,-,(60.435),(4),(60.450),,-11.0,,,,,,-60435.0,-4.0,-60450.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,37.234.046,8.974.710,-,2.597.498,4.823.006,55.835,550.601,9.233.969,295.618,63.765.283,37234046.0,8974710.0,,2597498.0,4823006.0,55835.0,550601.0,9233969.0,295618.0,63765283.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,5.413.949,2.480,5.416.429,,,,,,,,5413949.0,2480.0,5416429.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,276.179,547.499,10.747,-,(834.425),(1.833),(1.833),,,,276179.0,547499.0,10747.0,,-834425.0,-1833.0,-1833.0
"Trích quỹ khen thưởng, phúc lợi năm 2017","Trích quỹ khen thưởng, phúc lợi năm 2017","Trích quỹ khen thưởng, phúc lợi năm 2017",-,-,-,-,-,-,-,(1.702.564),-,(1.702.564),,,,,,,,-1702564.0,,-1702564.0
Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,-,-,66.404,-,-,-,-,(66.404),-,-,,,66404.0,,,,,-66404.0,,
Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,-,49.001,(49.001),-,-,,,,,,,49001.0,-49001.0,,
Phân loại lại,Phân loại lại,Phân loại lại,-,-,141.066,(141.066),-,-,-,-,-,-,,,141066.0,-141066.0,,,,,,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(12),-,-,(1.440),(641),-,(19.702),(3),(21.798),,-12.0,,,-1440.0,-641.0,,-19702.0,-3.0,-21798.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,37.234.046,8.974.698,207.470,2.732.611,5.369.065,65.941,599.602,11.975.822,296.262,67.455.517,37234046.0,8974698.0,207470.0,2732611.0,5369065.0,65941.0,599602.0,11975822.0,296262.0,67455517.0
