row_label_raw,row_label_full,"Tiền mặt, vàng bạc, đá quý",7.028.347,-,-_1,-_2,-_3,7.028.347_1,7.028.347_2,numeric__7.028.347,numeric__-,numeric__-_1,numeric__-_2,numeric__-_3,numeric__7.028.347_1,numeric__7.028.347_2
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,23.182.208,-,-,-,-,23.182.208,23.182.208,23182208.0,,,,,23182208.0,23182208.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,130.512.012,-,-,130.512.012,(*),,,130512012.0,,,130512012.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.279.561,-,-,-,-,3.279.561,(*),3279561.0,,,,,3279561.0,
Các công cụ tài chính phải sinh và các tài sản tài chính,Các công cụ tài chính phải sinh và các tài sản tài chính,Các công cụ tài chính phải sinh và các tài sản tài chính,281.166,-,-,-,-,281.166,(*),281166.0,,,,,281166.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,864.925.948,-,-,864.925.948,(*),,,864925948.0,,,864925948.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,88.586.344,-,88.586.344,(*),,,,88586344.0,,88586344.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,16.207.592,-,-,-,16.207.592,(*),,16207592.0,,,,16207592.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,412.645,-,412.645,(*),,,,412645.0,,412645.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,31.711.869,-,-,31.711.869,(*),,,31711869.0,,,31711869.0,
,,,33.771.282,16.207.592,1.027.149.829,88.998.989,-,1.166.127.692,,33771282.0,16207592.0,1027149829.0,88998989.0,,1166127692.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,62.600.159,62.600.159,(*),,,,,62600159.0,62600159.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,111.399.612,111.399.612,(*),,,,,111399612.0,111399612.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,825.816.119,825.816.119,(*),,,,,825816119.0,825816119.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,5.934.029,5.934.029,(*),,,,,5934029.0,5934029.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,46.216.359,46.216.359,(*),,,,,46216359.0,46216359.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,44.436.430,44.436.430,(*),,,,,44436430.0,44436430.0,
,,,-,-,-,-,1.096.402.708,1.096.402.708,,,,,,1096402708.0,1096402708.0,
